source name	characteristics[organism part]	characteristics[organism]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[data file]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[separation]	comment[ionization]	comment[internalstandard]	comment[extraction]	comment[cleavage agent details]
162	not applicable	not applicable	not applicable	blank_extraction	162	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BF12_01_2196.mzXML	14m__BF12_01_2196.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	162	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
163	not applicable	not applicable	not applicable	blank_extraction	163	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG1_01_2197.mzXML	14m__BG1_01_2197.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	163	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
164	not applicable	not applicable	not applicable	blank_extraction	164	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG2_01_2198.mzXML	14m__BG2_01_2198.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	164	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
165	not applicable	not applicable	not applicable	blank_extraction	165	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG3_01_2199.mzXML	14m__BG3_01_2199.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	165	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
166	not applicable	not applicable	not applicable	blank_extraction	166	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG4_01_2200.mzXML	14m__BG4_01_2200.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	166	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
167	not applicable	not applicable	not applicable	blank_extraction	167	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG5_01_2201.mzXML	14m__BG5_01_2201.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	167	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
168	not applicable	not applicable	not applicable	blank_extraction	168	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG6_01_2202.mzXML	14m__BG6_01_2202.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	168	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
169	not applicable	not applicable	not applicable	blank_extraction	169	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG7_01_2203.mzXML	14m__BG7_01_2203.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	169	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
170	not applicable	not applicable	not applicable	blank_extraction	170	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG8_01_2204.mzXML	14m__BG8_01_2204.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	170	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
171	not applicable	not applicable	not applicable	blank_extraction	171	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG9_01_2205.mzXML	14m__BG9_01_2205.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	171	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
172	not applicable	not applicable	not applicable	blank_extraction	172	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG10_01_2206.mzXML	14m__BG10_01_2206.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	172	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
173	not applicable	not applicable	not applicable	blank_extraction	173	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG11_01_2207.mzXML	14m__BG11_01_2207.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	173	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
174	not applicable	not applicable	not applicable	blank_extraction	174	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BG12_01_2208.mzXML	14m__BG12_01_2208.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	174	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
175	not applicable	not applicable	not applicable	blank_extraction	175	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH1_01_2209.mzXML	14m__BH1_01_2209.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	175	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
176	not applicable	not applicable	not applicable	blank_extraction	176	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH2_01_2210.mzXML	14m__BH2_01_2210.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	176	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
177	not applicable	not applicable	not applicable	blank_extraction	177	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH3_01_2211.mzXML	14m__BH3_01_2211.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	177	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
178	not applicable	not applicable	not applicable	blank_extraction	178	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH4_01_2212.mzXML	14m__BH4_01_2212.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	178	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
179	not applicable	not applicable	not applicable	blank_extraction	179	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH5_01_2213.mzXML	14m__BH5_01_2213.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	179	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
180	not applicable	not applicable	not applicable	blank_extraction	180	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH6_01_2214.mzXML	14m__BH6_01_2214.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	180	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
181	not applicable	not applicable	not applicable	blank_extraction	181	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH7_01_2215.mzXML	14m__BH7_01_2215.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	181	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
182	not applicable	not applicable	not applicable	blank_extraction	182	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH8_01_2216.mzXML	14m__BH8_01_2216.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	182	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
183	not applicable	not applicable	not applicable	blank_extraction	183	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH9_01_2217.mzXML	14m__BH9_01_2217.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	183	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
184	not applicable	not applicable	not applicable	blank_extraction	184	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH10_01_2218.mzXML	14m__BH10_01_2218.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	184	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
185	not applicable	not applicable	not applicable	blank_extraction	185	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH11_01_2219.mzXML	14m__BH11_01_2219.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	185	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
186	not applicable	not applicable	not applicable	blank_extraction	186	f.MSV000078556/ccms_peak/Human_Swabs/Woman/14m__BH12_01_2220.mzXML	14m__BH12_01_2220.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	186	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
187	not applicable	not applicable	not applicable	blank_extraction	187	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BF1_01_2290.mzXML	m15__BF1_01_2290.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	187	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
188	not applicable	not applicable	not applicable	blank_extraction	188	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG5_01_2306.mzXML	m15__BG5_01_2306.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	188	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
189	not applicable	not applicable	not applicable	blank_extraction	189	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG6_01_2307.mzXML	m15__BG6_01_2307.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	189	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
190	not applicable	not applicable	not applicable	blank_extraction	190	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG7_01_2308.mzXML	m15__BG7_01_2308.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	190	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
191	not applicable	not applicable	not applicable	blank_extraction	191	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG8_01_2309.mzXML	m15__BG8_01_2309.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	191	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
192	not applicable	not applicable	not applicable	blank_extraction	192	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG9_01_2310.mzXML	m15__BG9_01_2310.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	192	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
193	not applicable	not applicable	not applicable	blank_extraction	193	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG10_01_2311.mzXML	m15__BG10_01_2311.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	193	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
194	not applicable	not applicable	not applicable	blank_extraction	194	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG11_01_2312.mzXML	m15__BG11_01_2312.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	194	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
195	not applicable	not applicable	not applicable	blank_extraction	195	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BG12_01_2313.mzXML	m15__BG12_01_2313.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	195	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
196	not applicable	not applicable	not applicable	blank_extraction	196	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH1_01_2314.mzXML	m15__BH1_01_2314.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	196	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
197	not applicable	not applicable	not applicable	blank_extraction	197	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH2_01_2315.mzXML	m15__BH2_01_2315.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	197	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
198	not applicable	not applicable	not applicable	blank_extraction	198	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH3_01_2316.mzXML	m15__BH3_01_2316.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	198	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
199	not applicable	not applicable	not applicable	blank_extraction	199	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH4_01_2317.mzXML	m15__BH4_01_2317.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	199	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
200	not applicable	not applicable	not applicable	blank_extraction	200	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH5_01_2318.mzXML	m15__BH5_01_2318.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	200	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
201	not applicable	not applicable	not applicable	blank_extraction	201	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH6_01_2319.mzXML	m15__BH6_01_2319.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	201	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
202	not applicable	not applicable	not applicable	blank_extraction	202	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH7_01_2320.mzXML	m15__BH7_01_2320.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	202	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
203	not applicable	not applicable	not applicable	blank_extraction	203	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH8_01_2321.mzXML	m15__BH8_01_2321.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	203	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
204	not applicable	not applicable	not applicable	blank_extraction	204	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH9_01_2322.mzXML	m15__BH9_01_2322.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	204	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
205	not applicable	not applicable	not applicable	blank_extraction	205	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH10_01_2323.mzXML	m15__BH10_01_2323.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	205	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
206	not applicable	not applicable	not applicable	blank_extraction	206	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH11_01_2324.mzXML	m15__BH11_01_2324.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	206	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
207	not applicable	not applicable	not applicable	blank_extraction	207	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BH12_01_2325.mzXML	m15__BH12_01_2325.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	207	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
208	arm skin	Homo sapiens	no disease reported	animal	208	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE10_01_1063.mzXML	2m__BE10_01_1063.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	208	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
209	arm skin	Homo sapiens	no disease reported	animal	209	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE11_01_1064.mzXML	2m__BE11_01_1064.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	209	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
210	arm skin	Homo sapiens	no disease reported	animal	210	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE12_01_1065.mzXML	2m__BE12_01_1065.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	210	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
211	arm skin	Homo sapiens	no disease reported	animal	211	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF1_01_1066.mzXML	2m__BF1_01_1066.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	211	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
212	arm skin	Homo sapiens	no disease reported	animal	212	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF2_01_1067.mzXML	2m__BF2_01_1067.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	212	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
213	arm skin	Homo sapiens	no disease reported	animal	213	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF3_01_1068.mzXML	2m__BF3_01_1068.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	213	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
214	arm skin	Homo sapiens	no disease reported	animal	214	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF4_01_1069.mzXML	2m__BF4_01_1069.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	214	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
215	arm skin	Homo sapiens	no disease reported	animal	215	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF5_01_1070.mzXML	2m__BF5_01_1070.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	215	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
216	arm skin	Homo sapiens	no disease reported	animal	216	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF6_01_1071.mzXML	2m__BF6_01_1071.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	216	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
217	arm skin	Homo sapiens	no disease reported	animal	217	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF7_01_1072.mzXML	2m__BF7_01_1072.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	217	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
218	arm skin	Homo sapiens	no disease reported	animal	218	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF8_01_1073.mzXML	2m__BF8_01_1073.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	218	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
219	arm skin	Homo sapiens	no disease reported	animal	219	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF9_01_1074.mzXML	2m__BF9_01_1074.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	219	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
220	arm skin	Homo sapiens	no disease reported	animal	220	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF10_01_1075.mzXML	2m__BF10_01_1075.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	220	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
221	arm skin	Homo sapiens	no disease reported	animal	221	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF11_01_1076.mzXML	2m__BF11_01_1076.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	221	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
222	arm skin	Homo sapiens	no disease reported	animal	222	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BF12_01_1077.mzXML	2m__BF12_01_1077.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	222	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
223	arm skin	Homo sapiens	no disease reported	animal	223	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG2_01_1079.mzXML	2m__BG2_01_1079.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	223	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
224	arm skin	Homo sapiens	no disease reported	animal	224	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG3_01_1080.mzXML	2m__BG3_01_1080.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	224	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
225	arm skin	Homo sapiens	no disease reported	animal	225	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG4_01_1081.mzXML	2m__BG4_01_1081.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	225	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
226	arm skin	Homo sapiens	no disease reported	animal	226	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BH1_01_1090.mzXML	2m__BH1_01_1090.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	226	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
227	arm skin	Homo sapiens	no disease reported	animal	227	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BB1_01_2035.mzXML	13m__BB1_01_2035.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	227	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
228	arm skin	Homo sapiens	no disease reported	animal	228	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BB2_01_2036.mzXML	13m__BB2_01_2036.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	228	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
229	arm skin	Homo sapiens	no disease reported	animal	229	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BB3_01_2037.mzXML	13m__BB3_01_2037.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	229	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
230	arm skin	Homo sapiens	no disease reported	animal	230	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BB4_01_2038.mzXML	13m__BB4_01_2038.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	230	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
231	arm skin	Homo sapiens	no disease reported	animal	231	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BB5_01_2039.mzXML	13m__BB5_01_2039.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	231	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
232	arm skin	Homo sapiens	no disease reported	animal	232	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BB6_01_2040.mzXML	13m__BB6_01_2040.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	232	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
233	arm skin	Homo sapiens	no disease reported	animal	233	f.MSV000078556/ccms_peak/Human_Swabs/Woman/13m__BB7_01_2041.mzXML	13m__BB7_01_2041.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	233	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
