source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[treatment]	characteristics[treatment]	characteristics[enrichment method]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[enrichment process]	factor value[treatment]	factor value[treatment]
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	ERK inhibitor SCH772984	TIO2	enrichment of phosphorylated Protein	1	cell	run 20	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S09_10_11.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S09_10_11.raw	enrichment of phosphorylated Protein	control	ERK inhibitor SCH772984
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	1	cell	run 20	proteomic profiling by mass spectrometry	SILAC light	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S09_10_11.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S09_10_11.raw	enrichment of phosphorylated Protein	none	control
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	ERK inhibitor SCH772984	TIO2	enrichment of phosphorylated Protein	1	cell	run 21	proteomic profiling by mass spectrometry	SILAC heavy	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S09_10_11_131122154332.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S09_10_11_131122154332.raw	enrichment of phosphorylated Protein	none	ERK inhibitor SCH772984
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	ERK inhibitor SCH772984	TIO2	enrichment of phosphorylated Protein	1	cell	run 21	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S09_10_11_131122154332.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S09_10_11_131122154332.raw	enrichment of phosphorylated Protein	control	ERK inhibitor SCH772984
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	1	cell	run 21	proteomic profiling by mass spectrometry	SILAC light	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S09_10_11_131122154332.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S09_10_11_131122154332.raw	enrichment of phosphorylated Protein	none	control
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 22	proteomic profiling by mass spectrometry	SILAC heavy	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S01.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	1	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S01.raw	enrichment of phosphorylated Protein	none	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 22	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S01.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	1	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S01.raw	enrichment of phosphorylated Protein	control	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	1	cell	run 22	proteomic profiling by mass spectrometry	SILAC light	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S01.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	1	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S01.raw	enrichment of phosphorylated Protein	none	control
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 23	proteomic profiling by mass spectrometry	SILAC heavy	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S013_14.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	6	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S013_14.raw	enrichment of phosphorylated Protein	none	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 23	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S013_14.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	6	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S013_14.raw	enrichment of phosphorylated Protein	control	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	1	cell	run 23	proteomic profiling by mass spectrometry	SILAC light	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S013_14.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	6	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S013_14.raw	enrichment of phosphorylated Protein	none	control
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 24	proteomic profiling by mass spectrometry	SILAC heavy	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S015.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	7	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S015.raw	enrichment of phosphorylated Protein	none	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 24	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S015.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	7	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S015.raw	enrichment of phosphorylated Protein	control	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	1	cell	run 24	proteomic profiling by mass spectrometry	SILAC light	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S015.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	7	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S015.raw	enrichment of phosphorylated Protein	none	control
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 25	proteomic profiling by mass spectrometry	SILAC heavy	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S02_12.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	2	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S02_12.raw	enrichment of phosphorylated Protein	none	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 25	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S02_12.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	2	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S02_12.raw	enrichment of phosphorylated Protein	control	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	1	cell	run 25	proteomic profiling by mass spectrometry	SILAC light	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S02_12.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	2	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S02_12.raw	enrichment of phosphorylated Protein	none	control
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 26	proteomic profiling by mass spectrometry	SILAC heavy	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S03_4_5_6.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	3	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S03_4_5_6.raw	enrichment of phosphorylated Protein	none	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 26	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S03_4_5_6.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	3	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S03_4_5_6.raw	enrichment of phosphorylated Protein	control	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	1	cell	run 26	proteomic profiling by mass spectrometry	SILAC light	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S03_4_5_6.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	3	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S03_4_5_6.raw	enrichment of phosphorylated Protein	none	control
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 27	proteomic profiling by mass spectrometry	SILAC heavy	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S07_8.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	4	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S07_8.raw	enrichment of phosphorylated Protein	none	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 27	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S07_8.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	4	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S07_8.raw	enrichment of phosphorylated Protein	control	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	1	cell	run 27	proteomic profiling by mass spectrometry	SILAC light	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S07_8.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	4	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S07_8.raw	enrichment of phosphorylated Protein	none	control
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 28	proteomic profiling by mass spectrometry	SILAC heavy	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S09_10_11.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S09_10_11.raw	enrichment of phosphorylated Protein	none	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 28	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S09_10_11.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S09_10_11.raw	enrichment of phosphorylated Protein	control	MEK inhibitor trametinib
Sample 3	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	1	cell	run 28	proteomic profiling by mass spectrometry	SILAC light	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_MEKi_30min_S09_10_11.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_MEKi_30min_S09_10_11.raw	enrichment of phosphorylated Protein	none	control
Sample 4	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 29	proteomic profiling by mass spectrometry	SILAC heavy	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20140214_CCS_EV_A375_MEKi_30min_v4_S01.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	1	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20140214_CCS_EV_A375_MEKi_30min_v4_S01.raw	enrichment of phosphorylated Protein	none	MEK inhibitor trametinib
Sample 4	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	MEK inhibitor trametinib	TIO2	enrichment of phosphorylated Protein	1	cell	run 29	proteomic profiling by mass spectrometry	SILAC medium	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20140214_CCS_EV_A375_MEKi_30min_v4_S01.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	1	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20140214_CCS_EV_A375_MEKi_30min_v4_S01.raw	enrichment of phosphorylated Protein	control	MEK inhibitor trametinib
