Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell type]	Characteristics[disease]	Assay Name	Comment[fraction identifier]	Comment[file uri]	Comment[instrument]	Comment[label]	Comment[proteomics data acquisition method]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	Material Type
Sample 45	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 45	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160622_MM63_02.raw	NT=Q Exactive Plus;AC=MS:1002677	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160622_MM63_02.raw	cell
Sample 46	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 46	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160622_MM66_04.raw	NT=Q Exactive Plus;AC=MS:1002678	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160622_MM66_04.raw	cell
Sample 47	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 47	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160622_MM67_04.raw	NT=Q Exactive Plus;AC=MS:1002679	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160622_MM67_04.raw	cell
Sample 48	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 48	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160622_MM68_02.raw	NT=Q Exactive Plus;AC=MS:1002680	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160622_MM68_02.raw	cell
Sample 49	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 49	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160622_MM71_02.raw	NT=Q Exactive Plus;AC=MS:1002681	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160622_MM71_02.raw	cell
Sample 50	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 50	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160623_MM106_02.raw	NT=Q Exactive Plus;AC=MS:1002682	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160623_MM106_02.raw	cell
Sample 51	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 51	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160623_MM107_02.raw	NT=Q Exactive Plus;AC=MS:1002683	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160623_MM107_02.raw	cell
Sample 52	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 52	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160623_MM114_02.raw	NT=Q Exactive Plus;AC=MS:1002684	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160623_MM114_02.raw	cell
Sample 53	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 53	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160623_MM120_02.raw	NT=Q Exactive Plus;AC=MS:1002685	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160623_MM120_02.raw	cell
Sample 54	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 54	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160623_MM121_02.raw	NT=Q Exactive Plus;AC=MS:1002686	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160623_MM121_02.raw	cell
Sample 55	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 55	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160623_MM73_03.raw	NT=Q Exactive Plus;AC=MS:1002687	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160623_MM73_03.raw	cell
Sample 56	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 56	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_108_02.raw	NT=Q Exactive Plus;AC=MS:1002688	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_108_02.raw	cell
Sample 57	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 57	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_12_02.raw	NT=Q Exactive Plus;AC=MS:1002689	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_12_02.raw	cell
Sample 58	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 58	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_14_03.raw	NT=Q Exactive Plus;AC=MS:1002690	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_14_03.raw	cell
Sample 59	Homo sapiens	trunk	not available	not available	not available	male	not applicable	superficial spreading melanoma	run 59	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_15_04.raw	NT=Q Exactive Plus;AC=MS:1002691	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_15_04.raw	cell
Sample 60	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 60	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_16_03.raw	NT=Q Exactive Plus;AC=MS:1002692	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_16_03.raw	cell
Sample 61	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 61	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_17_02.raw	NT=Q Exactive Plus;AC=MS:1002693	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_17_02.raw	cell
Sample 62	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 62	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_24_04.raw	NT=Q Exactive Plus;AC=MS:1002694	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_24_04.raw	cell
Sample 63	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 63	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_27_02.raw	NT=Q Exactive Plus;AC=MS:1002695	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_27_02.raw	cell
Sample 64	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 64	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_2_04.raw	NT=Q Exactive Plus;AC=MS:1002696	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_2_04.raw	cell
Sample 65	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 65	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_31_03.raw	NT=Q Exactive Plus;AC=MS:1002697	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_31_03.raw	cell
Sample 66	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 66	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_34_02.raw	NT=Q Exactive Plus;AC=MS:1002698	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_34_02.raw	cell
Sample 67	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 67	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_37_02.raw	NT=Q Exactive Plus;AC=MS:1002699	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_37_02.raw	cell
Sample 68	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 68	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_40_02.raw	NT=Q Exactive Plus;AC=MS:1002700	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_40_02.raw	cell
Sample 69	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 69	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_48_02.raw	NT=Q Exactive Plus;AC=MS:1002701	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_48_02.raw	cell
Sample 70	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 70	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_69_02.raw	NT=Q Exactive Plus;AC=MS:1002702	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_69_02.raw	cell
Sample 71	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 71	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_90_02.raw	NT=Q Exactive Plus;AC=MS:1002703	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_90_02.raw	cell
Sample 72	Homo sapiens	trunk	not available	not available	not available	male	not applicable	nodular melanoma	run 72	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/160629_MM_94_02.raw	NT=Q Exactive Plus;AC=MS:1002704	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	160629_MM_94_02.raw	cell
Sample 73	Homo sapiens	upper extremity	not available	not available	not available	male	not applicable	nodular melanoma	run 73	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170517_MM110_03.raw	NT=Q Exactive Plus;AC=MS:1002705	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170517_MM110_03.raw	cell
Sample 74	Homo sapiens	upper extremity	not available	not available	not available	male	not applicable	nodular melanoma	run 74	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170517_MM111_03.raw	NT=Q Exactive Plus;AC=MS:1002706	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170517_MM111_03.raw	cell
Sample 75	Homo sapiens	upper extremity	not available	not available	not available	male	not applicable	nodular melanoma	run 75	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170517_MM92_03.raw	NT=Q Exactive Plus;AC=MS:1002707	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170517_MM92_03.raw	cell
Sample 76	Homo sapiens	upper extremity	not available	not available	not available	male	not applicable	nodular melanoma	run 76	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170518_MM109_03.raw	NT=Q Exactive Plus;AC=MS:1002708	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170518_MM109_03.raw	cell
Sample 77	Homo sapiens	upper extremity	not available	not available	not available	male	not applicable	nodular melanoma	run 77	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170518_MM119_03.raw	NT=Q Exactive Plus;AC=MS:1002709	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170518_MM119_03.raw	cell
Sample 78	Homo sapiens	upper extremity	not available	not available	not available	male	not applicable	nodular melanoma	run 78	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170518_MM124_03.raw	NT=Q Exactive Plus;AC=MS:1002710	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170518_MM124_03.raw	cell
Sample 79	Homo sapiens	upper extremity	not available	not available	not available	male	not applicable	nodular melanoma	run 79	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170518_MM70_03.raw	NT=Q Exactive Plus;AC=MS:1002711	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170518_MM70_03.raw	cell
Sample 80	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	nodular melanoma	run 80	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170519_MM102_03.raw	NT=Q Exactive Plus;AC=MS:1002712	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170519_MM102_03.raw	cell
Sample 81	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	acral lentiginous melanoma	run 81	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170519_MM103_03.raw	NT=Q Exactive Plus;AC=MS:1002713	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170519_MM103_03.raw	cell
Sample 82	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	acral lentiginous melanoma	run 82	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170519_MM104_03.raw	NT=Q Exactive Plus;AC=MS:1002714	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170519_MM104_03.raw	cell
Sample 83	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	acral lentiginous melanoma	run 83	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170519_MM116_03.raw	NT=Q Exactive Plus;AC=MS:1002715	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170519_MM116_03.raw	cell
Sample 84	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	lentigo maligna melanoma	run 84	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170519_MM118_03.raw	NT=Q Exactive Plus;AC=MS:1002716	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170519_MM118_03.raw	cell
Sample 85	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	mucosal	run 85	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170519_MM122_03.raw	NT=Q Exactive Plus;AC=MS:1002717	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170519_MM122_03.raw	cell
Sample 86	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	unknown	run 86	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170519_MM62_03.raw	NT=Q Exactive Plus;AC=MS:1002718	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170519_MM62_03.raw	cell
Sample 87	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	unknown	run 87	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170520_MM117_03.raw	NT=Q Exactive Plus;AC=MS:1002719	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170520_MM117_03.raw	cell
Sample 88	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	unknown	run 88	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170520_MM64_03.raw	NT=Q Exactive Plus;AC=MS:1002720	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170520_MM64_03.raw	cell
Sample 89	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	unknown	run 89	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170520_MM65_03.raw	NT=Q Exactive Plus;AC=MS:1002721	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170520_MM65_03.raw	cell
