source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[enrichment process]	assay name	Technology Type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]	factor value[enrichment process]
Sample 3	Mus musculus	Swiss Webster	heart	heart	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 83	proteomic profiling by mass spectrometry	Heart_Phosphorylation_o05400.RAW	27	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	heart	enrichment of phosphorylated Protein
Sample 3	Mus musculus	Swiss Webster	heart	heart	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 84	proteomic profiling by mass spectrometry	Heart_Phosphorylation_o05401.RAW	28	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	heart	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 85	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06218.RAW	1	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 86	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06219.RAW	2	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 87	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06220.RAW	3	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 88	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06221.RAW	4	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 89	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06223.RAW	5	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 90	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06224.RAW	6	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 91	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06225.RAW	7	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 92	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06226.RAW	8	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 93	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06227.RAW	9	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 94	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06229.RAW	10	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 95	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06230.RAW	11	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 96	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06231.RAW	12	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 97	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06232.RAW	13	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 98	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06233.RAW	14	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 99	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06236.RAW	15	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 100	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06237.RAW	16	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 101	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06238.RAW	17	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 102	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06239.RAW	18	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 103	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06241.RAW	19	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 104	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06242.RAW	20	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 105	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06243.RAW	21	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 106	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06244.RAW	22	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 107	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06245.RAW	23	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 108	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06247.RAW	24	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 109	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06248.RAW	25	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 110	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06249.RAW	26	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 111	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06250.RAW	27	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 4	Mus musculus	Swiss Webster	kidney	kidney	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 112	proteomic profiling by mass spectrometry	Kidney_Phosphorylation_o06251.RAW	28	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	kidney	enrichment of phosphorylated Protein
Sample 5	Mus musculus	Swiss Webster	liver	liver	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 113	proteomic profiling by mass spectrometry	Liver_Phosphorylation_liver_f1_01_w01346.RAW	1	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	liver	enrichment of phosphorylated Protein
Sample 5	Mus musculus	Swiss Webster	liver	liver	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 114	proteomic profiling by mass spectrometry	Liver_Phosphorylation_liver_f1_02_w01362.RAW	2	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	liver	enrichment of phosphorylated Protein
Sample 5	Mus musculus	Swiss Webster	liver	liver	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 115	proteomic profiling by mass spectrometry	Liver_Phosphorylation_liver_f2_01_w01047.RAW	1	2	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	liver	enrichment of phosphorylated Protein
Sample 5	Mus musculus	Swiss Webster	liver	liver	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 116	proteomic profiling by mass spectrometry	Liver_Phosphorylation_liver_f2_02_w01363.RAW	2	2	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	liver	enrichment of phosphorylated Protein
Sample 5	Mus musculus	Swiss Webster	liver	liver	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 117	proteomic profiling by mass spectrometry	Liver_Phosphorylation_liver_f3_01_w01048.RAW	1	3	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	liver	enrichment of phosphorylated Protein
Sample 5	Mus musculus	Swiss Webster	liver	liver	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 118	proteomic profiling by mass spectrometry	Liver_Phosphorylation_liver_f3_02_w01364.RAW	2	3	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	liver	enrichment of phosphorylated Protein
Sample 5	Mus musculus	Swiss Webster	liver	liver	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 119	proteomic profiling by mass spectrometry	Liver_Phosphorylation_liver_f4_01_w01049.RAW	1	4	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	liver	enrichment of phosphorylated Protein
Sample 5	Mus musculus	Swiss Webster	liver	liver	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 120	proteomic profiling by mass spectrometry	Liver_Phosphorylation_liver_f4_02_w01365.RAW	2	4	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	liver	enrichment of phosphorylated Protein
Sample 5	Mus musculus	Swiss Webster	liver	liver	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 121	proteomic profiling by mass spectrometry	Liver_Phosphorylation_liver_f5_01_w01050.RAW	1	5	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	liver	enrichment of phosphorylated Protein
