term	type	ontology_term_accession	usage	values	description	allow_not_available	allow_not_applicable	allow_pooled
panel version	comment		affinity-proteomics	free text	Version of the assay panel	true	true	false
quantification unit	comment	PRIDE:0000392	affinity-proteomics	fixed: NPX, RFU	Unit of quantification for the assay (NPX for Olink, RFU for SomaScan)	true	true	false
plate	comment		affinity-proteomics	free text	Plate identifier for batch effect analysis	true	true	false
sample matrix	characteristics		affinity-proteomics	UBERON, BTO	Type of biological matrix used as input (serum, plasma, CSF, urine)	true	true	false
normalization method	comment		affinity-proteomics	free text	Normalization method applied to quantification values	true	true	false
olink panel	comment		olink	free text	Specific Olink panel name (Target 96 Inflammation, Explore 3072)	false	false	false
olink platform	comment		olink	fixed: Olink Target 96, Olink Explore 384, Olink Explore HT, Olink Reveal	Olink platform version	false	false	false
npx normalization	comment		olink	fixed: plate control normalized, intensity normalized, bridge normalized, not normalized	Normalization method applied to NPX values	true	true	false
olink lot number	comment		olink	free text	Reagent lot number for traceability	true	true	false
somascan menu	comment		somascan	fixed: SomaScan 1.1K, SomaScan 1.3K, SomaScan 5K, SomaScan 7K, SomaScan 11K	SomaScan assay menu (number of aptamers/proteins measured)	false	false	false
somascan platform	comment		somascan	fixed: SomaScan Assay, SomaScan Assay v4, SomaScan Assay v4.1	SomaScan instrument/platform version	false	false	false
somascan lot number	comment		somascan	free text	Reagent lot number for traceability	true	true	false
dilution	comment	OBI:0002483	somascan	pattern: 0.005%, 0.5%, 20%, 40%	Sample dilution factor used in SomaScan assay	true	true	false
xenograft	characteristics	EFO:0003942	human, vertebrates	free text	Indicates if sample is a patient-derived xenograft (PDX). Metadata (age, sex) must refer to the original patient, not the host organism.	true	true	false
mass	characteristics	PRIDE:0000505	sample-metadata	pattern: number + unit (e.g., 1 ug, 500 ng, 10 fmol)	Injected mass of the sample. Used for spiked-in experiments and quantitative comparisons.	true	true	false
