#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F7.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-7.raw	7	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F8.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-8.raw	8	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F9.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-9.raw	9	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F10.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-10.raw	10	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F11.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-11.raw	11	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F12.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-12.raw	12	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F13.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-13.raw	13	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
