source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	factor value[organism part]
Sample 13	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_LN_2.RAW	P5_LN_2.RAW	axillary metastatic lymph nodes tissues
Sample 13	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_LN_3.RAW	P5_LN_3.RAW	axillary metastatic lymph nodes tissues
Sample 14	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_NCT_1.RAW	P5_NCT_1.RAW	non-tumor contralateral breast tissues
Sample 14	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_NCT_2.RAW	P5_NCT_2.RAW	non-tumor contralateral breast tissues
Sample 14	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 42	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_NCT_3.RAW	P5_NCT_3.RAW	non-tumor contralateral breast tissues
Sample 15	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 43	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_PT_1.RAW	P5_PT_1.RAW	primary breast tumor tissues
Sample 15	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 44	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_PT_2.RAW	P5_PT_2.RAW	primary breast tumor tissues
Sample 15	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 45	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P5_PT_3.RAW	P5_PT_3.RAW	primary breast tumor tissues
Sample 16	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 46	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_ANT_1.RAW	P6_ANT_1.RAW	adjacent breast tissues
Sample 16	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 47	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_ANT_2.RAW	P6_ANT_2.RAW	adjacent breast tissues
Sample 16	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 48	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_ANT_3.RAW	P6_ANT_3.RAW	adjacent breast tissues
Sample 17	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 49	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_LN_1.RAW	P6_LN_1.RAW	axillary metastatic lymph nodes tissues
Sample 17	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 50	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_LN_2.RAW	P6_LN_2.RAW	axillary metastatic lymph nodes tissues
Sample 17	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 51	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_LN_3.RAW	P6_LN_3.RAW	axillary metastatic lymph nodes tissues
Sample 18	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 52	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_NCT_1.RAW	P6_NCT_1.RAW	non-tumor contralateral breast tissues
Sample 18	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 53	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_NCT_2.RAW	P6_NCT_2.RAW	non-tumor contralateral breast tissues
Sample 18	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 54	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_NCT_3.RAW	P6_NCT_3.RAW	non-tumor contralateral breast tissues
Sample 19	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 55	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_PT_1.RAW	P6_PT_1.RAW	primary breast tumor tissues
Sample 19	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 56	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_PT_2.RAW	P6_PT_2.RAW	primary breast tumor tissues
Sample 19	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 57	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P6_PT_3.RAW	P6_PT_3.RAW	primary breast tumor tissues
Sample 20	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 58	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_ANT_1.RAW	P7_ANT_1.RAW	adjacent breast tissues
Sample 20	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 59	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_ANT_2.RAW	P7_ANT_2.RAW	adjacent breast tissues
Sample 20	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 60	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	4	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_ANT_4.RAW	P7_ANT_4.RAW	adjacent breast tissues
Sample 21	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 61	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_LN_1.RAW	P7_LN_1.RAW	axillary metastatic lymph nodes tissues
Sample 21	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 62	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_LN_2.RAW	P7_LN_2.RAW	axillary metastatic lymph nodes tissues
Sample 21	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 63	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_LN_3.RAW	P7_LN_3.RAW	axillary metastatic lymph nodes tissues
Sample 22	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 64	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_NCT_1.RAW	P7_NCT_1.RAW	non-tumor contralateral breast tissues
Sample 22	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 65	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_NCT_2.RAW	P7_NCT_2.RAW	non-tumor contralateral breast tissues
Sample 22	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 66	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	4	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_NCT_4.RAW	P7_NCT_4.RAW	non-tumor contralateral breast tissues
Sample 23	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 67	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_PT_1.RAW	P7_PT_1.RAW	primary breast tumor tissues
Sample 23	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 68	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_PT_2.RAW	P7_PT_2.RAW	primary breast tumor tissues
Sample 23	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 69	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P7_PT_3.RAW	P7_PT_3.RAW	primary breast tumor tissues
