source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[genetic background]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]
MtrCBA_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	3	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 7	Proteomic profiling by mass spectrometry	1	S9026TQ_07.raw	7	High-pH reversed-phase chromatography (hpHRP)	TMT131	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
Control_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	Not available	1	Yeast extract + Tryptone	Chloramphenicol	30°C	Not available	run 8	Proteomic profiling by mass spectrometry	1	S9026TQ_08.raw	8	High-pH reversed-phase chromatography (hpHRP)	TMT126	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
Control_2	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	Not available	2	Yeast extract + Tryptone	Chloramphenicol	30°C	Not available	run 8	Proteomic profiling by mass spectrometry	1	S9026TQ_08.raw	8	High-pH reversed-phase chromatography (hpHRP)	TMT127	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
Control_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	Not available	3	Yeast extract + Tryptone	Chloramphenicol	30°C	Not available	run 8	Proteomic profiling by mass spectrometry	1	S9026TQ_08.raw	8	High-pH reversed-phase chromatography (hpHRP)	TMT128	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
MtrCBA_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	1	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 8	Proteomic profiling by mass spectrometry	1	S9026TQ_08.raw	8	High-pH reversed-phase chromatography (hpHRP)	TMT129	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
MtrCBA_2	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	2	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 8	Proteomic profiling by mass spectrometry	1	S9026TQ_08.raw	8	High-pH reversed-phase chromatography (hpHRP)	TMT130	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
MtrCBA_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	3	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 8	Proteomic profiling by mass spectrometry	1	S9026TQ_08.raw	8	High-pH reversed-phase chromatography (hpHRP)	TMT131	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
Control_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	Not available	1	Yeast extract + Tryptone	Chloramphenicol	30°C	Not available	run 9	Proteomic profiling by mass spectrometry	1	S9026TQ_09.raw	9	High-pH reversed-phase chromatography (hpHRP)	TMT126	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
Control_2	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	Not available	2	Yeast extract + Tryptone	Chloramphenicol	30°C	Not available	run 9	Proteomic profiling by mass spectrometry	1	S9026TQ_09.raw	9	High-pH reversed-phase chromatography (hpHRP)	TMT127	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
Control_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	Not available	3	Yeast extract + Tryptone	Chloramphenicol	30°C	Not available	run 9	Proteomic profiling by mass spectrometry	1	S9026TQ_09.raw	9	High-pH reversed-phase chromatography (hpHRP)	TMT128	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
MtrCBA_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	1	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 9	Proteomic profiling by mass spectrometry	1	S9026TQ_09.raw	9	High-pH reversed-phase chromatography (hpHRP)	TMT129	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
MtrCBA_2	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	2	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 9	Proteomic profiling by mass spectrometry	1	S9026TQ_09.raw	9	High-pH reversed-phase chromatography (hpHRP)	TMT130	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
MtrCBA_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	3	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 9	Proteomic profiling by mass spectrometry	1	S9026TQ_09.raw	9	High-pH reversed-phase chromatography (hpHRP)	TMT131	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
Control_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	Not available	1	Yeast extract + Tryptone	Chloramphenicol	30°C	Not available	run 10	Proteomic profiling by mass spectrometry	1	S9026TQ_10.raw	10	High-pH reversed-phase chromatography (hpHRP)	TMT126	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
Control_2	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	Not available	2	Yeast extract + Tryptone	Chloramphenicol	30°C	Not available	run 10	Proteomic profiling by mass spectrometry	1	S9026TQ_10.raw	10	High-pH reversed-phase chromatography (hpHRP)	TMT127	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
Control_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	Not available	3	Yeast extract + Tryptone	Chloramphenicol	30°C	Not available	run 10	Proteomic profiling by mass spectrometry	1	S9026TQ_10.raw	10	High-pH reversed-phase chromatography (hpHRP)	TMT128	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
MtrCBA_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	1	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 10	Proteomic profiling by mass spectrometry	1	S9026TQ_10.raw	10	High-pH reversed-phase chromatography (hpHRP)	TMT129	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
MtrCBA_2	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	2	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 10	Proteomic profiling by mass spectrometry	1	S9026TQ_10.raw	10	High-pH reversed-phase chromatography (hpHRP)	TMT130	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
MtrCBA_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	3	Yeast extract + Tryptone	Gentamicin	30°C	Plasmid BBR1MCS-5-mtrCAB and CWJ-ccmA-H	run 10	Proteomic profiling by mass spectrometry	1	S9026TQ_10.raw	10	High-pH reversed-phase chromatography (hpHRP)	TMT131	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28 %
