Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell type]	Characteristics[disease]	Characteristics[phenotype]	Material Type	Assay Name	Technology Type	Comment[fraction identifier]	Comment[technical replicate]	Characteristics[biological replicate]	Comment[file uri]	Comment[Experiment Type]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]
Sample 35	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	recovery	tissue	run 44	proteomic profiling by mass spectrometry	1	1	2	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_RP6_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_RP6_r1.raw
Sample 35	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	recovery	tissue	run 45	proteomic profiling by mass spectrometry	1	2	2	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_2019nCoV_Urine_RP6_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_2019nCoV_Urine_RP6_r2.raw
Sample 36	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 46	proteomic profiling by mass spectrometry	1	1	1	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_Healthy_Urine_H01_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_Healthy_Urine_H01_r1.raw
Sample 36	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 47	proteomic profiling by mass spectrometry	1	2	1	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_Healthy_Urine_H01_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_Healthy_Urine_H01_r2.raw
Sample 37	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 48	proteomic profiling by mass spectrometry	1	1	2	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_Healthy_Urine_H02_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_Healthy_Urine_H02_r1.raw
Sample 37	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 49	proteomic profiling by mass spectrometry	1	2	2	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_Healthy_Urine_H02_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_Healthy_Urine_H02_r2.raw
Sample 38	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 50	proteomic profiling by mass spectrometry	1	1	3	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_Healthy_Urine_H03_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_Healthy_Urine_H03_r1.raw
Sample 38	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 51	proteomic profiling by mass spectrometry	1	2	3	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_Healthy_Urine_H03_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_Healthy_Urine_H03_r2.raw
Sample 39	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 52	proteomic profiling by mass spectrometry	1	1	4	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_Healthy_Urine_H04_r1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_Healthy_Urine_H04_r1.raw
Sample 39	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 53	proteomic profiling by mass spectrometry	1	2	4	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos1_Healthy_Urine_H04_r2.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos1_Healthy_Urine_H04_r2.raw
Sample 40	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 54	proteomic profiling by mass spectrometry	1	1	5	http://download.iprox.org/IPX0002166000/IPX0002166001/Lumos_Healthy_Urine_H05.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	Lumos_Healthy_Urine_H05.raw
