Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[age]	Characteristics[sex]	Characteristics[cell type]	Characteristics[treatment]	Characteristics[cell line]	Characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[cell line]	factor value[treatment]
Sample 37	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	P	1	run 37	20161223_Qp2_19_P_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_19_P_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	P	none
Sample 38	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	P	2	run 38	20161223_Qp2_54_P_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_54_P_T2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	P	none
Sample 39	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	P	3	run 39	20161223_Qp2_52_P_T3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_52_P_T3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	P	none
Sample 40	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	P	4	run 40	20170217_Qp2_62_P_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20170217_Qp2_62_P_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	P	heat shock
Sample 41	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	P	5	run 41	20161223_Qp2_43_P_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_43_P_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	P	heat shock
Sample 42	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	P	6	run 42	20161223_Qp2_38_P_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_38_P_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	P	heat shock
Sample 43	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	SI	1	run 43	20161223_Qp2_02_SI_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_02_SI_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	SI	none
Sample 44	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	SI	2	run 44	20161223_Qp2_63_SI_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_63_SI_T2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	SI	none
Sample 45	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	SI	3	run 45	20161223_Qp2_10_SI_T3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_10_SI_T3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	SI	none
Sample 46	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	SI	4	run 46	20161223_Qp2_14_SI_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_14_SI_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	SI	heat shock
Sample 47	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	SI	5	run 47	20161223_Qp2_55_SI_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_55_SI_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	SI	heat shock
Sample 48	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	SI	6	run 48	20161223_Qp2_20_SI_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_20_SI_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	SI	heat shock
