Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[organism part]	Characteristics[cell line]	Comment[proteomexchange accession number]	Comment[data file]	Comment[Associated file URI]	Comment[instrument]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[cleavage agent details]	Material Type	Description	Comment[Label]	Comment[fragment mass tolerance]	Comment[precursor mass tolerance]
Sample 820	Homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_F05_P003812_B0N_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F05_P003812_B0N_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 821	Homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_B04_P003812_B0B_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B04_P003812_B0B_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 822	Homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_C05_P003812_B0K_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C05_P003812_B0K_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 823	Homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_G04_P003812_B0G_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G04_P003812_B0G_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 824	Homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_H05_P003812_B0P_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H05_P003812_B0P_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 825	Homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_H04_P003812_B0H_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H04_P003812_B0H_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 826	Homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_E05_P003812_B0M_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E05_P003812_B0M_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 827	Homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_A04_P003812_B0A_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A04_P003812_B0A_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 828	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_D09_P003813_B0T_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D09_P003813_B0T_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 829	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_A09_P003813_B0Q_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A09_P003813_B0Q_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 830	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_H07_P003813_B0H_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H07_P003813_B0H_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 831	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_E08_P003813_B0M_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E08_P003813_B0M_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 832	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_B07_P003813_B0B_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B07_P003813_B0B_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 833	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_G07_P003813_B0G_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G07_P003813_B0G_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 834	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_H08_P003813_B0P_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H08_P003813_B0P_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 835	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_A07_P003813_B0I_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A07_P003813_B0I_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 836	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_B08_P003813_B0J_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B08_P003813_B0J_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 837	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_A07_P003813_B0A_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A07_P003813_B0A_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 838	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_G08_P003813_B0O_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G08_P003813_B0O_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 839	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_C08_P003813_B0K_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C08_P003813_B0K_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 840	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_G09_P003813_B0W_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G09_P003813_B0W_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 841	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_F09_P003813_B0V_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F09_P003813_B0V_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 842	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_F08_P003813_B0N_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F08_P003813_B0N_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 843	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_D08_P003813_B0L_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D08_P003813_B0L_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 844	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_H09_P003813_B0X_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H09_P003813_B0X_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 845	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_B09_P003813_B0R_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B09_P003813_B0R_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 846	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_F07_P003813_B0F_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F07_P003813_B0F_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 847	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_D07_P003813_B0D_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D07_P003813_B0D_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 848	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_C07_P003813_B0C_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C07_P003813_B0C_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 849	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_C09_P003813_B0S_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C09_P003813_B0S_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 850	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_E07_P003813_B0E_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E07_P003813_B0E_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 851	Homo sapiens	prostate carcinoma	prostate	male reproductive system	PC-3	PXD005940	00522_E09_P003813_B0U_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E09_P003813_B0U_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 852	Homo sapiens	non-small cell lung adenocarcinoma	lung		NCI-H460	PXD005940	00522_D12_P003814_B0T_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D12_P003814_B0T_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 853	Homo sapiens	non-small cell lung adenocarcinoma	lung		NCI-H460	PXD005940	00522_H10_P003814_B0H_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H10_P003814_B0H_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 854	Homo sapiens	non-small cell lung adenocarcinoma	lung		NCI-H460	PXD005940	00522_G10_P003814_B0G_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G10_P003814_B0G_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 855	Homo sapiens	non-small cell lung adenocarcinoma	lung		NCI-H460	PXD005940	00522_C10_P003814_B0C_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C10_P003814_B0C_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 856	Homo sapiens	non-small cell lung adenocarcinoma	lung		NCI-H460	PXD005940	00522_B10_P003814_B0B_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B10_P003814_B0B_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 857	Homo sapiens	non-small cell lung adenocarcinoma	lung		NCI-H460	PXD005940	00522_A11_P003814_B0I_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A11_P003814_B0I_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 858	Homo sapiens	non-small cell lung adenocarcinoma	lung		NCI-H460	PXD005940	00522_H12_P003814_B0X_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H12_P003814_B0X_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 859	Homo sapiens	non-small cell lung adenocarcinoma	lung		NCI-H460	PXD005940	00522_F10_P003814_B0F_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F10_P003814_B0F_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 860	Homo sapiens	non-small cell lung adenocarcinoma	lung		NCI-H460	PXD005940	00522_E11_P003814_B0M_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E11_P003814_B0M_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
