#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[growth condition]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[aeration]	characteristics[temperature]	characteristics[pH]	characteristics[growth phase]	characteristics[growth rate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	factor value[strain/breed]	factor value[growth condition]
Sample 34	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Pyruvate	1	M9 minimal medium	Pyruvate	Not available	37°C	7	Steady state growth	0,4	Run 34	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07060.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001340	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07060.raw	Escherichia coli BW25113	Pyruvate
Sample 35	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Pyruvate	2	M9 minimal medium	Pyruvate	Not available	37°C	7	Steady state growth	0,4	Run 35	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07061.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001341	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07061.raw	Escherichia coli BW25113	Pyruvate
Sample 36	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Pyruvate	3	M9 minimal medium	Pyruvate	Not available	37°C	7	Steady state growth	0,4	Run 36	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07062.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001342	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07062.raw	Escherichia coli BW25113	Pyruvate
Sample 37	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.5	1	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,5	Run 37	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07064.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001343	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07064.raw	Escherichia coli BW25113	Chemostat µ=0.5
Sample 38	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.5	2	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,5	Run 38	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07065.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001344	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07065.raw	Escherichia coli BW25113	Chemostat µ=0.5
Sample 39	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.5	3	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,5	Run 39	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07066.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001345	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07066.raw	Escherichia coli BW25113	Chemostat µ=0.5
Sample 40	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.35	1	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,35	Run 40	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07068.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001346	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07068.raw	Escherichia coli BW25113	Chemostat µ=0.35
Sample 41	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.35	2	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,35	Run 41	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07069.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001347	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07069.raw	Escherichia coli BW25113	Chemostat µ=0.35
Sample 42	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.35	3	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,35	Run 42	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07070.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001348	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07070.raw	Escherichia coli BW25113	Chemostat µ=0.35
Sample 43	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.20	1	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,2	Run 43	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07072.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001349	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07072.raw	Escherichia coli BW25113	Chemostat µ=0.20
Sample 44	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.20	2	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,2	Run 44	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07073.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001350	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07073.raw	Escherichia coli BW25113	Chemostat µ=0.20
Sample 45	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.20	3	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,2	Run 45	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07074.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001351	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07074.raw	Escherichia coli BW25113	Chemostat µ=0.20
Sample 46	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.12	1	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,12	Run 46	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07076.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001352	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07076.raw	Escherichia coli BW25113	Chemostat µ=0.12
Sample 47	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.12	2	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,12	Run 47	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07077.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001353	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07077.raw	Escherichia coli BW25113	Chemostat µ=0.12
Sample 48	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Chemostat µ=0.12	3	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,12	Run 48	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07078.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001354	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07078.raw	Escherichia coli BW25113	Chemostat µ=0.12
Sample 49	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Stationary 1 day	1	M9 minimal medium	Glucose	Not available	37°C	7	Stationary phase	-0,01	Run 49	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07080.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001355	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07080.raw	Escherichia coli BW25113	Stationary 1 day
Sample 50	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Stationary 1 day	2	M9 minimal medium	Glucose	Not available	37°C	7	Stationary phase	-0,01	Run 50	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07081.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001356	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07081.raw	Escherichia coli BW25113	Stationary 1 day
Sample 51	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Stationary 1 day	3	M9 minimal medium	Glucose	Not available	37°C	7	Stationary phase	-0,01	Run 51	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07082.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001357	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07082.raw	Escherichia coli BW25113	Stationary 1 day
Sample 52	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Stationary 3 days	1	M9 minimal medium	Glucose	Not available	37°C	7	Stationary phase	-0,01	Run 52	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07084.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001358	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07084.raw	Escherichia coli BW25113	Stationary 3 days
Sample 53	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Stationary 3 days	2	M9 minimal medium	Glucose	Not available	37°C	7	Stationary phase	-0,01	Run 53	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07085.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001359	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07085.raw	Escherichia coli BW25113	Stationary 3 days
Sample 54	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Stationary 3 days	3	M9 minimal medium	Glucose	Not available	37°C	7	Stationary phase	-0,01	Run 54	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07086.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001360	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07086.raw	Escherichia coli BW25113	Stationary 3 days
Sample 55	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glucose	1	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,58	Run 55	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07088.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001361	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07088.raw	Escherichia coli BW25113	Glucose
Sample 56	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glucose	2	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,58	Run 56	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07089.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001362	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07089.raw	Escherichia coli BW25113	Glucose
Sample 57	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Glucose	3	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,58	Run 57	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07090.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001363	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07090.raw	Escherichia coli BW25113	Glucose
Sample 58	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	50 mM NaCl	1	M9 minimal medium	Glucose + NaCl	Not available	37°C	7	Steady state growth	0,55	Run 58	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07092.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001364	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07092.raw	Escherichia coli BW25113	50 mM NaCl
Sample 59	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	50 mM NaCl	2	M9 minimal medium	Glucose + NaCl	Not available	37°C	7	Steady state growth	0,55	Run 59	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07093.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001365	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07093.raw	Escherichia coli BW25113	50 mM NaCl
Sample 60	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	50 mM NaCl	3	M9 minimal medium	Glucose + NaCl	Not available	37°C	7	Steady state growth	0,55	Run 60	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07094.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001366	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07094.raw	Escherichia coli BW25113	50 mM NaCl
Sample 61	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	42°C	1	M9 minimal medium	Glucose	Not available	42°C	7	Steady state growth	0,66	Run 61	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07096.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001367	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07096.raw	Escherichia coli BW25113	42°C
Sample 62	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	42°C	2	M9 minimal medium	Glucose	Not available	42°C	7	Steady state growth	0,66	Run 62	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07097.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001368	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07097.raw	Escherichia coli BW25113	42°C
Sample 63	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	42°C	3	M9 minimal medium	Glucose	Not available	42°C	7	Steady state growth	0,66	Run 63	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07098.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001369	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07098.raw	Escherichia coli BW25113	42°C
Sample 64	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	pH 6	1	M9 minimal medium	Glucose + fuming hydrochloric acid	Not available	37°C	6	Steady state growth	0,63	Run 64	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07100.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001370	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07100.raw	Escherichia coli BW25113	pH 6
Sample 65	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	pH 6	2	M9 minimal medium	Glucose + fuming hydrochloric acid	Not available	37°C	6	Steady state growth	0,63	Run 65	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07101.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001371	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07101.raw	Escherichia coli BW25113	pH 6
Sample 66	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	pH 6	3	M9 minimal medium	Glucose + fuming hydrochloric acid	Not available	37°C	6	Steady state growth	0,63	Run 66	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07102.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001372	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07102.raw	Escherichia coli BW25113	pH 6
Sample 67	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Anaerobic	1	Not available	Not available	anaerobiosis	37°C	7	Steady state growth	Not available	Run 67	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07104.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001373	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07104.raw	Escherichia coli BW25113	Anaerobic
