source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[compound]	characteristics[phenotype]	characteristics[bait]	characteristics[ancestry category]	characteristics[cell line]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	factor value[phenotype]	factor value[bait]
Sample 30	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	SLC15A3	not available	HEK FlpIn TREX	3	cell	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInSLC15A3_NoDox_3.raw	compound: none	SLC15A3
Sample 31	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	TCF7L2	not available	HEK FlpIn TREX	1	cell	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_1.raw	compound: drug doxycycline	TCF7L2
Sample 32	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	TCF7L2	not available	HEK FlpIn TREX	2	cell	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_2.raw	compound: drug doxycycline	TCF7L2
Sample 33	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	TCF7L2	not available	HEK FlpIn TREX	3	cell	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_3.raw	compound: drug doxycycline	TCF7L2
Sample 34	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	TCF7L2	not available	HEK FlpIn TREX	1	cell	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_1.raw	compound: none	TCF7L2
Sample 35	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	TCF7L2	not available	HEK FlpIn TREX	2	cell	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_2.raw	compound: none	TCF7L2
Sample 36	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	TCF7L2	not available	HEK FlpIn TREX	3	cell	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_3.raw	compound: none	TCF7L2
Sample 37	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	UNC93B1	not available	HEK FlpIn TREX	1	cell	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_Dox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_Dox_1.raw	compound: drug doxycycline	UNC93B1
Sample 38	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	UNC93B1	not available	HEK FlpIn TREX	2	cell	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_Dox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_Dox_2.raw	compound: drug doxycycline	UNC93B1
Sample 39	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	UNC93B1	not available	HEK FlpIn TREX	3	cell	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_1.raw	compound: drug doxycycline	UNC93B1
Sample 40	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	UNC93B1	not available	HEK FlpIn TREX	1	cell	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_2.raw	compound: none	UNC93B1
Sample 41	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	UNC93B1	not available	HEK FlpIn TREX	2	cell	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_3.raw	compound: none	UNC93B1
Sample 42	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	UNC93B1	not available	HEK FlpIn TREX	3	cell	run 42	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUnC93B1_Dox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUnC93B1_Dox_3.raw	compound: none	UNC93B1
