Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[age]	Characteristics[sex]	Characteristics[disease]	characteristics[cell type]	Characteristics[compound]	Characteristics[phenotype]	Characteristics[bait]	Characteristics[cell line]	assay name	comment[label]	comment[biological replicate]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	Material Type	factor value[phenotype]	factor value[bait]
Sample 31	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	TCF7L2	HEK FlpIn TREX	run 31	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_1.raw	cell	compound: drug doxycycline	TCF7L2
Sample 32	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	TCF7L2	HEK FlpIn TREX	run 32	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_2.raw	cell	compound: drug doxycycline	TCF7L2
Sample 33	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	TCF7L2	HEK FlpIn TREX	run 33	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_Dox_3.raw	cell	compound: drug doxycycline	TCF7L2
Sample 34	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	TCF7L2	HEK FlpIn TREX	run 34	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_1.raw	cell	compound: none	TCF7L2
Sample 35	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	TCF7L2	HEK FlpIn TREX	run 35	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_2.raw	cell	compound: none	TCF7L2
Sample 36	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	TCF7L2	HEK FlpIn TREX	run 36	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInTCF7L2_NoDox_3.raw	cell	compound: none	TCF7L2
Sample 37	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	UNC93B1	HEK FlpIn TREX	run 37	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_Dox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_Dox_1.raw	cell	compound: drug doxycycline	UNC93B1
Sample 38	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	UNC93B1	HEK FlpIn TREX	run 38	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_Dox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_Dox_2.raw	cell	compound: drug doxycycline	UNC93B1
Sample 39	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	UNC93B1	HEK FlpIn TREX	run 39	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_1.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_1.raw	cell	compound: drug doxycycline	UNC93B1
Sample 40	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	UNC93B1	HEK FlpIn TREX	run 40	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_2.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_2.raw	cell	compound: none	UNC93B1
Sample 41	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	UNC93B1	HEK FlpIn TREX	run 41	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUNC93B1_NoDox_3.raw	cell	compound: none	UNC93B1
Sample 42	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	UNC93B1	HEK FlpIn TREX	run 42	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUnC93B1_Dox_3.raw	20170904_QEp5_PhHu_SA_Hek_Easy12_FlipInUnC93B1_Dox_3.raw	cell	compound: none	UNC93B1
