Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[organism part]	Characteristics[cell line]	Comment[proteomexchange accession number]	Comment[data file]	Comment[Associated file URI]	Comment[instrument]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[cleavage agent details]	Material Type	Description	Comment[Label]	Comment[fragment mass tolerance]	Comment[precursor mass tolerance]
Sample 79	homo sapiens	colon carcinoma	colon	colonic mucosa	KM12	PXD005942	000132_A01_P000809_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_A01_P000809_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 80	homo sapiens	astrocytoma	brain	central nervous system	SNB19	PXD005942	000132_G02_P000810_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_G02_P000810_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 81	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005942	000132_F02_P000811_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_F02_P000811_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 82	homo sapiens	renal cell carcinoma	kidney	renal system	Caki1	PXD005942	000132_E02_P000812_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_E02_P000812_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 83	homo sapiens	high grade ovarian serous adenocarcinoma	ovary	fallopian tube	MCF7AdrR	PXD005942	000132_D02_P000813_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_D02_P000813_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 84	homo sapiens	renal cell carcinoma	kidney	renal system	ACHN	PXD005942	000132_C02_P000814_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_C02_P000814_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 85	homo sapiens	colon adenocarcinoma	colon	colorectum	HCT15	PXD005942	000132_B02_P000815_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_B02_P000815_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 86	homo sapiens	astrocytoma	brain	central nervous system	U-251 MG	PXD005942	000132_A02_P000816_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_A02_P000816_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 87	homo sapiens	colon adenocarcinoma	colon	colorectum	HCC2998	PXD005942	000132_H01_P000817_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_H01_P000817_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 88	homo sapiens	brain glioblastoma	brain	embryonic central brain glia	SNB-75	PXD005942	000132_H03_P000818_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_H03_P000818_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 89	homo sapiens	high grade ovarian serous adenocarcinoma	ovary	fallopian tube	OVCAR8	PXD005942	000132_G03_P000819_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_G03_P000819_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 90	homo sapiens	lung adenocarcinoma	lung	bronchiole	NCI-H522	PXD005942	000132_F03_P000820_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_F03_P000820_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 91	homo sapiens	invasive ductal carcinoma	breast	mammary gland	MCF-7	PXD005942	000132_E03_P000821_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_E03_P000821_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 92	homo sapiens	renal cell carcinoma	kidney	renal system	A498	PXD005942	000132_D03_P000822_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_D03_P000822_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 93	homo sapiens	high grade ovarian serous adenocarcinoma	ovary	fallopian tube	OVCAR4	PXD005942	000132_C03_P000823_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_C03_P000823_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 94	homo sapiens	gliosarcoma	brain	embryonic central brain glia	SF539	PXD005942	000132_B03_P000824_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_B03_P000824_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 95	homo sapiens	amelanotic melanoma	skin	melanocytes	M14	PXD005942	000132_A03_P000825_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_A03_P000825_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 96	homo sapiens	cutaneous melanoma	skin	melanocytes	SK-MEL-5	PXD005942	000132_H02_P000826_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000132_H02_P000826_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
