source name	characteristics[organism]	characteristics[organism part]	characteristics[cultivar]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[compound 2]	characteristics[time]	characteristics[biological replicate]	characteristics[enrichment process]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[compound 2]	factor value[time]
Sample 31	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	0 min	4	enrichment of phosphorylated Protein	cell	run 31	proteomic profiling by mass spectrometry	E12651_2p_EXT431_6085_HanChao_T0-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12651_2p_EXT431_6085_HanChao_T0-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	0 min
Sample 32	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	10 min	4	enrichment of phosphorylated Protein	cell	run 32	proteomic profiling by mass spectrometry	E12653_2p_EXT431_6085_HanChao_T10-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12653_2p_EXT431_6085_HanChao_T10-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	10 min
Sample 33	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	20 min	4	enrichment of phosphorylated Protein	cell	run 33	proteomic profiling by mass spectrometry	E12655_2p_EXT431_6085_HanChao_T20-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12655_2p_EXT431_6085_HanChao_T20-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	20 min
Sample 34	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	40 min	4	enrichment of phosphorylated Protein	cell	run 34	proteomic profiling by mass spectrometry	E12657_2p_EXT431_6085_HanChao_T40-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12657_2p_EXT431_6085_HanChao_T40-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	40 min
Sample 35	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	10 min	4	enrichment of phosphorylated Protein	cell	run 35	proteomic profiling by mass spectrometry	E12659_2p_EXT431_6085_HanChao_T10-Rapa-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12659_2p_EXT431_6085_HanChao_T10-Rapa-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	10 min
Sample 36	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	20 min	4	enrichment of phosphorylated Protein	cell	run 36	proteomic profiling by mass spectrometry	E12661_2p_EXT431_6085_HanChao_T20-Rapa-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12661_2p_EXT431_6085_HanChao_T20-Rapa-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	20 min
Sample 37	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	40 min	4	enrichment of phosphorylated Protein	cell	run 37	proteomic profiling by mass spectrometry	E12663_2p_EXT431_6085_HanChao_T40-Rapa-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12663_2p_EXT431_6085_HanChao_T40-Rapa-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	40 min
Sample 38	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	10 min	4	enrichment of phosphorylated Protein	cell	run 38	proteomic profiling by mass spectrometry	E12665_2p_EXT431_6085_HanChao_T10-AZD-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12665_2p_EXT431_6085_HanChao_T10-AZD-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	10 min
Sample 39	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	20 min	4	enrichment of phosphorylated Protein	cell	run 39	proteomic profiling by mass spectrometry	E12667_2p_EXT431_6085_HanChao_T20-AZD-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12667_2p_EXT431_6085_HanChao_T20-AZD-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	20 min
Sample 40	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	40 min	4	enrichment of phosphorylated Protein	cell	run 40	proteomic profiling by mass spectrometry	E12669_2p_EXT431_6085_HanChao_T40-AZD-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12669_2p_EXT431_6085_HanChao_T40-AZD-4.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	40 min
