Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[organism part]
Sample 48	Homo sapiens	breast	not applicable	not applicable	adult	none	not available	not available	not available	2	run 48	S48_Breast_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S48_Breast_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	breast
Sample 49	Homo sapiens	spleen	not applicable	not applicable	adult	none	not available	not available	not available	1	run 49	S49_Spleen_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S49_Spleen_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	spleen
Sample 50	Homo sapiens	spleen	not applicable	not applicable	adult	none	not available	not available	not available	2	run 50	S50_Spleen_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S50_Spleen_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	spleen
Sample 51	Homo sapiens	duodenum	not applicable	not applicable	adult	none	not available	not available	not available	1	run 51	S51_Duodenum_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S51_Duodenum_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	duodenum
Sample 52	Homo sapiens	duodenum	not applicable	not applicable	adult	none	not available	not available	not available	2	run 52	S52_Duodenum_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S52_Duodenum_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	duodenum
Sample 53	Homo sapiens	uterus	not applicable	not applicable	adult	none	not available	not available	not available	1	run 53	S53_Uterus_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S53_Uterus_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	uterus
Sample 54	Homo sapiens	uterus	not applicable	not applicable	adult	none	not available	not available	not available	2	run 54	S54_Uterus_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S54_Uterus_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	uterus
Sample 55	Homo sapiens	gallbladder	not applicable	not applicable	adult	none	not available	not available	not available	1	run 55	S55_Gallbladder_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S55_Gallbladder_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	gallbladder
Sample 56	Homo sapiens	gallbladder	not applicable	not applicable	adult	none	not available	not available	not available	2	run 56	S56_Gallbladder_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S56_Gallbladder_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	gallbladder
Sample 57	Homo sapiens	ureter	not applicable	not applicable	adult	none	not available	not available	not available	1	run 57	S57_Ureter_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S57_Ureter_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	ureter
Sample 58	Homo sapiens	ureter	not applicable	not applicable	adult	none	not available	not available	not available	2	run 58	S58_Ureter_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S58_Ureter_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	ureter
Sample 59	Homo sapiens	thyroid	not applicable	not applicable	adult	none	not available	not available	not available	1	run 59	S59_Thyroid_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S59_Thyroid_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	thyroid
Sample 60	Homo sapiens	thyroid	not applicable	not applicable	adult	none	not available	not available	not available	2	run 60	S60_Thyroid_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S60_Thyroid_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	thyroid
Sample 61	Homo sapiens	pancreas	not applicable	not applicable	adult	none	not available	not available	not available	1	run 61	S61_Pancreas_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S61_Pancreas_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	pancreas
Sample 62	Homo sapiens	pancreas	not applicable	not applicable	adult	none	not available	not available	not available	2	run 62	S62_Pancreas_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S62_Pancreas_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	pancreas
Sample 63	Homo sapiens	adipose	not applicable	not applicable	adult	none	not available	not available	not available	1	run 63	S63_AdiposeTissue_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S63_AdiposeTissue_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	adipose
Sample 64	Homo sapiens	adipose	not applicable	not applicable	adult	none	not available	not available	not available	2	run 64	S64_AdiposeTissue_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S64_AdiposeTissue_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	adipose
Sample 65	Homo sapiens	lymph node	not applicable	not applicable	adult	none	not available	not available	not available	1	run 65	S65_LymphNode_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S65_LymphNode_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	lymph node
Sample 66	Homo sapiens	lymph node	not applicable	not applicable	adult	none	not available	not available	not available	2	run 66	S66_LymphNode_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S66_LymphNode_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	lymph node
Sample 67	Homo sapiens	salivary gland	not applicable	not applicable	adult	none	not available	not available	not available	1	run 67	S67_SalivaryGland_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S67_SalivaryGland_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	salivary gland
Sample 68	Homo sapiens	salivary gland	not applicable	not applicable	adult	none	not available	not available	not available	2	run 68	S68_SalivaryGland_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S68_SalivaryGland_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	salivary gland
Sample 69	Homo sapiens	skeletal muscle	not applicable	not applicable	adult	none	not available	not available	not available	1	run 69	S69_SkeletalMuscle_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S69_SkeletalMuscle_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	skeletal muscle
Sample 70	Homo sapiens	skeletal muscle	not applicable	not applicable	adult	none	not available	not available	not available	2	run 70	S70_SkeletalMuscle_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S70_SkeletalMuscle_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	skeletal muscle
Sample 71	Homo sapiens	prostate	not applicable	not applicable	adult	none	not available	not available	not available	1	run 71	S71_Prostate_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S71_Prostate_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	prostate
Sample 72	Homo sapiens	prostate	not applicable	not applicable	adult	none	not available	not available	not available	2	run 72	S72_Prostate_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S72_Prostate_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	prostate
Sample 73	Homo sapiens	Seminal Vesicle	not applicable	not applicable	adult	none	not available	not available	not available	1	run 73	S73_SeminalVesicle_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S73_SeminalVesicle_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Seminal Vesicle
Sample 74	Homo sapiens	Seminal Vesicle	not applicable	not applicable	adult	none	not available	not available	not available	2	run 74	S74_SeminalVesicle_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S74_SeminalVesicle_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Seminal Vesicle
Sample 75	Homo sapiens	testis	not applicable	not applicable	adult	none	not available	not available	not available	1	run 75	S75_Testis_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S75_Testis_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	testis
Sample 76	Homo sapiens	testis	not applicable	not applicable	adult	none	not available	not available	not available	2	run 76	S76_Testis_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S76_Testis_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	testis
Sample 77	Homo sapiens	epidymis	not applicable	not applicable	adult	none	not available	not available	not available	1	run 77	S77_Epidymis_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S77_Epidymis_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	epidymis
Sample 78	Homo sapiens	epidymis	not applicable	not applicable	adult	none	not available	not available	not available	2	run 78	S78_Epidymis_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S78_Epidymis_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	epidymis
Sample 79	Homo sapiens	anus	not applicable	not applicable	adult	none	not available	not available	not available	1	run 79	S79_Anus_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S79_Anus_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	anus
Sample 80	Homo sapiens	anus	not applicable	not applicable	adult	none	not available	not available	not available	2	run 80	S80_Anus_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S80_Anus_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	anus
Sample 81	Homo sapiens	Bone marrow	not applicable	not applicable	adult	none	not available	not available	not available	1	run 81	S81_BoneMarrow_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S81_BoneMarrow_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Bone marrow
Sample 82	Homo sapiens	Bone marrow	not applicable	not applicable	adult	none	not available	not available	not available	2	run 82	S82_BoneMarrow_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S82_BoneMarrow_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Bone marrow
Sample 83	Homo sapiens	Fallopian tube	not applicable	not applicable	adult	none	not available	not available	not available	1	run 83	S83_FallopianTube_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S83_FallopianTube_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Fallopian tube
Sample 84	Homo sapiens	Fallopian tube	not applicable	not applicable	adult	none	not available	not available	not available	2	run 84	S84_FallopianTube_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S84_FallopianTube_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Fallopian tube
Sample 85	Homo sapiens	Parathyroid gland	not applicable	not applicable	adult	none	not available	not available	not available	1	run 85	S85_ParathyroidGland_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S85_ParathyroidGland_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Parathyroid gland
Sample 86	Homo sapiens	Parathyroid gland	not applicable	not applicable	adult	none	not available	not available	not available	2	run 86	S86_ParathyroidGland_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S86_ParathyroidGland_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Parathyroid gland
Sample 87	Homo sapiens	Tonsil	not applicable	not applicable	adult	none	not available	not available	not available	1	run 87	S87_Tonsil_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S87_Tonsil_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Tonsil
Sample 88	Homo sapiens	Tonsil	not applicable	not applicable	adult	none	not available	not available	not available	2	run 88	S88_Tonsil_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S88_Tonsil_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Tonsil
Sample 89	Homo sapiens	Ovary	not applicable	not applicable	adult	none	not available	not available	not available	1	run 89	S89_Ovary_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S89_Ovary_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Ovary
Sample 90	Homo sapiens	Ovary	not applicable	not applicable	adult	none	not available	not available	not available	2	run 90	S90_Ovary_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S90_Ovary_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Ovary
Sample 91	Homo sapiens	Skin	not applicable	not applicable	adult	none	not available	not available	not available	1	run 91	S91_Skin_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S91_Skin_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Skin
Sample 92	Homo sapiens	Skin	not applicable	not applicable	adult	none	not available	not available	not available	2	run 92	S92_Skin_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S92_Skin_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	tissue	Skin
