source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]
PXD004209_NP11-TDr-BD2-O1005_25-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD2-O1005_25-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD3-O1005_26-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD3-O1005_26-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD3-O1005_26-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD3-O1005_26-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD4-O1005_27-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD4-O1005_27-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD4-O1005_27-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD4-O1005_27-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD5-O1005_28-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD5-O1005_28-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD5-O1005_28-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD5-O1005_28-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD6-O1005_29-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD6-O1005_29-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD6-O1005_29-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD6-O1005_29-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD7-O1005_30-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD7-O1005_30-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD7-O1005_30-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD7-O1005_30-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD8-O1005_31-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD8-O1005_31-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BD8-O1005_31-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BD8-O1005_31-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE1-O1005_32-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE1-O1005_32-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE1-O1005_32-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE1-O1005_32-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE2-O1005_33-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE2-O1005_33-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE2-O1005_33-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE2-O1005_33-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE3-O1005_34-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE3-O1005_34-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE3-O1005_34-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE3-O1005_34-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE4-O1005_35-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE4-O1005_35-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE4-O1005_35-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE4-O1005_35-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE5-O1005_36-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE5-O1005_36-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE5-O1005_36-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE5-O1005_36-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE6-O1005_37-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE6-O1005_37-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE6-O1005_37-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE6-O1005_37-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE7-O1005_38-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE7-O1005_38-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE7-O1005_38-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE7-O1005_38-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE8-O1005_39-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE8-O1005_39-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BE8-O1005_39-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BE8-O1005_39-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA1-O1005_40-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA1-O1005_40-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA1-O1005_40-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA1-O1005_40-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA2-O1005_41-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA2-O1005_41-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA2-O1005_41-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA2-O1005_41-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA3-O1005_42-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA3-O1005_42-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA3-O1005_42-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA3-O1005_42-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA4-O1005_43-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA4-O1005_43-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA4-O1005_43-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA4-O1005_43-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA5-O1005_44-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA5-O1005_44-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA5-O1005_44-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA5-O1005_44-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA6-O1005_45-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA6-O1005_45-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA6-O1005_45-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA6-O1005_45-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA7-O1005_46-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA7-O1005_46-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA7-O1005_46-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA7-O1005_46-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA8-O1005_47-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA8-O1005_47-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GA8-O1005_47-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GA8-O1005_47-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GB1-O1005_51-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GB1-O1005_51-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-GB1-O1005_51-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-GB1-O1005_51-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_1-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_1-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_1-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_1-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_2-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_2-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_2-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_2-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
