source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[treatment]	characteristics[compound]	characteristics[time]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[label]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]	factor value[compound]	factor value[time]
Sample 22	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	5 h	1	cell	run 10	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F10.raw	1	10	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT131C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	5 h
Sample 1	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	0 h
Sample 2	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	1 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	1 h
Sample 3	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	2 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	2 h
Sample 4	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	3 h 	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	3 h
Sample 5	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	5 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	5 h
Sample 6	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	pre-shock	strong ionic detergent SDS	not applicable	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	pre-shock	strong ionic detergent SDS	not applicable
Sample 7	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	0 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	0 h
Sample 8	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	1 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT130N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	1 h
Sample 9	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	2 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	2 h
Sample 10	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	3 h 	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT131N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	3 h
Sample 11	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	5 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT131C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	5 h
Sample 12	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	0 h
Sample 13	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	1 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	1 h
Sample 14	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	2 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	2 h
Sample 15	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	3 h 	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	3 h
Sample 16	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	5 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	5 h
Sample 17	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	pre-shock	strong ionic detergent SDS	not applicable	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	pre-shock	strong ionic detergent SDS	not applicable
Sample 18	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	0 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	0 h
Sample 19	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	1 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT130N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	1 h
Sample 20	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	2 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	2 h
Sample 21	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	3 h 	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT131N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	3 h
Sample 22	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	5 h	1	cell	run 11	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT131C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	5 h
Sample 1	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	1	cell	run 12	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F12.raw	1	12	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	0 h
Sample 2	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	1 h	1	cell	run 12	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F12.raw	1	12	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	1 h
Sample 3	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	2 h	1	cell	run 12	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F12.raw	1	12	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	2 h
Sample 4	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	3 h 	1	cell	run 12	proteomic profiling by mass spectrometry	Bert_S1202_TM_SDS-NP40_rep1_R1_F12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1202_TM_SDS-NP40_rep1_R1_F12.raw	1	12	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	3 h
