Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[sample amount]	Characteristics[treatment]	Characteristics[biological replicate]	Characteristics[enrichment process]	Characteristics[enrichment method]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[sample amount]	Factor Value[treatment]	Factor Value[enrichment method]
Sample 30	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	1 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 30	OR10_20160321_HP_RP_HeLa_1ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_1ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	1 ug	none	Fe(III)-IMAC
Sample 31	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 31	OR10_20160321_HP_RP_HeLa_200ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_200ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Fe(III)-IMAC
Sample 32	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 32	OR10_20160321_HP_RP_HeLa_200ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_200ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Fe(III)-IMAC
Sample 33	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 33	OR10_20160321_HP_RP_HeLa_200ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_200ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Fe(III)-IMAC
Sample 34	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	25 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 34	OR10_20160321_HP_RP_HeLa_25ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_25ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	25 ug	none	Fe(III)-IMAC
Sample 35	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	25 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 35	OR10_20160321_HP_RP_HeLa_25ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_25ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	25 ug	none	Fe(III)-IMAC
Sample 36	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	25 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 36	OR10_20160321_HP_RP_HeLa_25ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_25ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	25 ug	none	Fe(III)-IMAC
Sample 37	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	2.5 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 37	OR10_20160321_HP_RP_HeLa_2p5ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_2p5ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	2.5 ug	none	Fe(III)-IMAC
Sample 38	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	2.5 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 38	OR10_20160321_HP_RP_HeLa_2p5ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_2p5ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	2.5 ug	none	Fe(III)-IMAC
Sample 39	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	2.5 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 39	OR10_20160321_HP_RP_HeLa_2p5ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_2p5ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	2.5 ug	none	Fe(III)-IMAC
Sample 40	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	500 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 40	OR10_20160321_HP_RP_HeLa_500ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_500ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	500 ug	none	Fe(III)-IMAC
Sample 41	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	500 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 41	OR10_20160321_HP_RP_HeLa_500ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_500ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	500 ug	none	Fe(III)-IMAC
Sample 42	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	500 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 42	OR10_20160321_HP_RP_HeLa_500ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_500ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	500 ug	none	Fe(III)-IMAC
Sample 43	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	50 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 43	OR10_20160321_HP_RP_HeLa_50ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_50ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	none	Fe(III)-IMAC
Sample 44	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	50 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 44	OR10_20160321_HP_RP_HeLa_50ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_50ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	none	Fe(III)-IMAC
Sample 45	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	50 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 45	OR10_20160321_HP_RP_HeLa_50ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_50ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	none	Fe(III)-IMAC
Sample 46	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	5 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 46	OR10_20160321_HP_RP_HeLa_5ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_5ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	5 ug	none	Fe(III)-IMAC
Sample 47	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	5 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 47	OR10_20160321_HP_RP_HeLa_5ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_5ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	5 ug	none	Fe(III)-IMAC
Sample 48	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	5 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 48	OR10_20160321_HP_RP_HeLa_5ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_5ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	5 ug	none	Fe(III)-IMAC
Sample 49	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	10 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 49	OR10_20160321_HP_RP_neuron_10ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_10ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	10 ug	none	Fe(III)-IMAC
Sample 50	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	10 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 50	OR10_20160321_HP_RP_neuron_10ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_10ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	10 ug	none	Fe(III)-IMAC
Sample 51	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	10 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 51	OR10_20160321_HP_RP_neuron_10ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_10ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	10 ug	none	Fe(III)-IMAC
Sample 52	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	10 ug	none	4	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 52	OR10_20160321_HP_RP_neuron_10ug_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_10ug_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	10 ug	none	Fe(III)-IMAC
Sample 53	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	1 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 53	OR10_20160321_HP_RP_neuron_1ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_1ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	1 ug	none	Fe(III)-IMAC
Sample 54	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	1 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 54	OR10_20160321_HP_RP_neuron_1ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_1ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	1 ug	none	Fe(III)-IMAC
Sample 55	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	1 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 55	OR10_20160321_HP_RP_neuron_1ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_1ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	1 ug	none	Fe(III)-IMAC
Sample 56	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	1 ug	none	4	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 56	OR10_20160321_HP_RP_neuron_1ug_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_1ug_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	1 ug	none	Fe(III)-IMAC
Sample 57	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	25 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 57	OR10_20160321_HP_RP_neuron_25ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_25ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	25 ug	none	Fe(III)-IMAC
Sample 58	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	25 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 58	OR10_20160321_HP_RP_neuron_25ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_25ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	25 ug	none	Fe(III)-IMAC
Sample 59	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	25 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 59	OR10_20160321_HP_RP_neuron_25ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_25ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	25 ug	none	Fe(III)-IMAC
