source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[sample amount]	characteristics[treatment]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[enrichment method]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[sample amount]	factor value[treatment]	factor value[enrichment method]
Sample 29	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	1 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 29	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_1ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_1ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	1 ug	none	Fe(III)-IMAC
Sample 30	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	1 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 30	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_1ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_1ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	1 ug	none	Fe(III)-IMAC
Sample 31	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 31	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_200ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_200ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	200 ug	none	Fe(III)-IMAC
Sample 32	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 32	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_200ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_200ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	200 ug	none	Fe(III)-IMAC
Sample 33	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 33	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_200ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_200ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	200 ug	none	Fe(III)-IMAC
Sample 34	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	25 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 34	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_25ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_25ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	25 ug	none	Fe(III)-IMAC
Sample 35	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	25 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 35	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_25ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_25ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	25 ug	none	Fe(III)-IMAC
Sample 36	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	25 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 36	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_25ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_25ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	25 ug	none	Fe(III)-IMAC
Sample 37	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	2.5 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 37	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_2p5ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_2p5ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	2.5 ug	none	Fe(III)-IMAC
Sample 38	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	2.5 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 38	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_2p5ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_2p5ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	2.5 ug	none	Fe(III)-IMAC
Sample 39	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	2.5 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 39	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_2p5ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_2p5ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	2.5 ug	none	Fe(III)-IMAC
Sample 40	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	500 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 40	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_500ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_500ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	500 ug	none	Fe(III)-IMAC
Sample 41	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	500 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 41	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_500ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_500ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	500 ug	none	Fe(III)-IMAC
Sample 42	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	500 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 42	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_500ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_500ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	500 ug	none	Fe(III)-IMAC
Sample 43	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	50 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 43	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_50ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_50ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	50 ug	none	Fe(III)-IMAC
Sample 44	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	50 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 44	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_50ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_50ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	50 ug	none	Fe(III)-IMAC
Sample 45	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	50 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 45	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_50ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_50ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	50 ug	none	Fe(III)-IMAC
Sample 46	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	5 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 46	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_5ug_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_5ug_1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	5 ug	none	Fe(III)-IMAC
Sample 47	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	5 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 47	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_5ug_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_5ug_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	5 ug	none	Fe(III)-IMAC
Sample 48	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	5 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 48	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_5ug_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_5ug_3.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	5 ug	none	Fe(III)-IMAC
