#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 37	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RB1_30min_Top10_86ms_RP02_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RB1_30min_Top10_86ms_RP02_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 38	proteomic profiling by mass spectrometry	15	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RB2_30min_Top10_86ms_RP15_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RB2_30min_Top10_86ms_RP15_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 39	proteomic profiling by mass spectrometry	18	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RB3_30min_Top10_86ms_RP18_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RB3_30min_Top10_86ms_RP18_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 40	proteomic profiling by mass spectrometry	31	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RB4_30min_Top10_86ms_RP31_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RB4_30min_Top10_86ms_RP31_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 41	proteomic profiling by mass spectrometry	34	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RB5_30min_Top10_86ms_RP34_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RB5_30min_Top10_86ms_RP34_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 42	proteomic profiling by mass spectrometry	47	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RB6_30min_Top10_86ms_RP47_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RB6_30min_Top10_86ms_RP47_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 43	proteomic profiling by mass spectrometry	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RC1_30min_Top10_86ms_RP03_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RC1_30min_Top10_86ms_RP03_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 44	proteomic profiling by mass spectrometry	14	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RC2_30min_Top10_86ms_RP14_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RC2_30min_Top10_86ms_RP14_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 45	proteomic profiling by mass spectrometry	19	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RC3_30min_Top10_86ms_RP19_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RC3_30min_Top10_86ms_RP19_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 46	proteomic profiling by mass spectrometry	30	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RC4_30min_Top10_86ms_RP30_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RC4_30min_Top10_86ms_RP30_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 47	proteomic profiling by mass spectrometry	35	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RC5_30min_Top10_86ms_RP35_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RC5_30min_Top10_86ms_RP35_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 48	proteomic profiling by mass spectrometry	46	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RC6_30min_Top10_86ms_RP46_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RC6_30min_Top10_86ms_RP46_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 49	proteomic profiling by mass spectrometry	4	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RD1_30min_Top10_86ms_RP04_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RD1_30min_Top10_86ms_RP04_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 50	proteomic profiling by mass spectrometry	13	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RD2_30min_Top10_86ms_RP13_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RD2_30min_Top10_86ms_RP13_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 51	proteomic profiling by mass spectrometry	20	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RD3_30min_Top10_86ms_RP20_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RD3_30min_Top10_86ms_RP20_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 52	proteomic profiling by mass spectrometry	29	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RD4_30min_Top10_86ms_RP29_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RD4_30min_Top10_86ms_RP29_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 53	proteomic profiling by mass spectrometry	36	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RD5_30min_Top10_86ms_RP36_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RD5_30min_Top10_86ms_RP36_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 54	proteomic profiling by mass spectrometry	45	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RD6_30min_Top10_86ms_RP45_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RD6_30min_Top10_86ms_RP45_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 55	proteomic profiling by mass spectrometry	5	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RE1_30min_Top10_86ms_RP05_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RE1_30min_Top10_86ms_RP05_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 56	proteomic profiling by mass spectrometry	12	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RE2_30min_Top10_86ms_RP12_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RE2_30min_Top10_86ms_RP12_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 57	proteomic profiling by mass spectrometry	21	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RE3_30min_Top10_86ms_RP21_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RE3_30min_Top10_86ms_RP21_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 58	proteomic profiling by mass spectrometry	28	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RE4_30min_Top10_86ms_RP28_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RE4_30min_Top10_86ms_RP28_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 59	proteomic profiling by mass spectrometry	37	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RE5_30min_Top10_86ms_RP37_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RE5_30min_Top10_86ms_RP37_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 60	proteomic profiling by mass spectrometry	44	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RE6_30min_Top10_86ms_RP44_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RE6_30min_Top10_86ms_RP44_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 61	proteomic profiling by mass spectrometry	6	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RF1_30min_Top10_86ms_RP06_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RF1_30min_Top10_86ms_RP06_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 62	proteomic profiling by mass spectrometry	11	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RF2_30min_Top10_86ms_RP11_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RF2_30min_Top10_86ms_RP11_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 63	proteomic profiling by mass spectrometry	22	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RF3_30min_Top10_86ms_RP22_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RF3_30min_Top10_86ms_RP22_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 64	proteomic profiling by mass spectrometry	27	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RF4_30min_Top10_86ms_RP27_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RF4_30min_Top10_86ms_RP27_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 65	proteomic profiling by mass spectrometry	38	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RF5_30min_Top10_86ms_RP38_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RF5_30min_Top10_86ms_RP38_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 66	proteomic profiling by mass spectrometry	43	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RF6_30min_Top10_86ms_RP43_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RF6_30min_Top10_86ms_RP43_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 67	proteomic profiling by mass spectrometry	7	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RG1_30min_Top10_86ms_RP07_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RG1_30min_Top10_86ms_RP07_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 68	proteomic profiling by mass spectrometry	10	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RG2_30min_Top10_86ms_RP10_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RG2_30min_Top10_86ms_RP10_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 69	proteomic profiling by mass spectrometry	23	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RG3_30min_Top10_86ms_RP23_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RG3_30min_Top10_86ms_RP23_R1.raw
