Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[infect]	Characteristics[disease]	Characteristics[cell line]	Characteristics[individual]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[biological replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[infect]
Sample 44	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-009	run 44	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017178.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017178.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 45	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-010	run 45	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017086.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017086.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 46	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-011	run 46	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017087.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017087.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 47	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-012	run 47	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017088.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017088.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 48	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-013	run 48	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017090.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017090.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 49	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-014	run 49	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017091.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017091.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 50	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-015	run 50	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017092.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017092.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 51	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-010	run 51	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017180.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017180.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 52	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-011	run 52	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017181.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017181.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 53	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-012	run 53	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017182.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017182.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 54	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-016	run 54	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017094.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017094.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 55	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-017	run 55	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017095.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017095.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 56	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-018	run 56	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017096.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017096.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 57	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-028	run 57	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017194.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017194.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 58	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-029	run 58	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017195.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017195.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 59	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-030	run 59	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017196.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017196.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 60	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-019	run 60	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017100.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017100.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 61	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-020	run 61	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017101.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017101.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 62	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-021	run 62	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017102.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017102.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 63	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-022	run 63	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017150.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017150.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 64	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-023	run 64	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017151.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017151.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 65	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-024	run 65	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017152.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017152.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 66	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-025	run 66	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017154.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017154.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 67	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-026	run 67	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017155.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017155.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 68	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-027	run 68	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017156.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017156.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 69	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-010_H3	run 69	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017128.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017128.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 70	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-017_G8	run 70	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017129.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017129.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 71	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-030_F7	run 71	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017130.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017130.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 72	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-032_F5	run 72	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017110.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017110.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 73	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-022_G3	run 73	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017111.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017111.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 74	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-005_H8	run 74	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017112.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017112.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 75	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-037	run 75	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017172.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017172.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 76	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-038	run 76	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017173.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017173.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 77	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV02-039	run 77	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017174.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017174.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 78	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-006_H7	run 78	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017124.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017124.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 79	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-021_G4	run 79	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017125.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017125.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 80	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-037_E12	run 80	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017126.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017126.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 81	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-007_H6	run 81	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017120.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017120.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 82	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-020_G5	run 82	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017121.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017121.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 83	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-029_F8	run 83	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017122.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017122.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 84	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-034	run 84	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017200.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017200.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 85	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-035	run 85	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017201.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017201.raw	cell	Severe acute respiratory syndrome coronavirus 2
