source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[disease]	characteristics[cell line]	characteristics[individual]	characteristics[bait]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[phenotype]
Sample 41	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-021	nsp15	3	cell	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017216.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017216.raw	SARS-Co-V2 proteins
Sample 42	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-007	nsp2	1	cell	run 42	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017176.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017176.raw	SARS-Co-V2 proteins
Sample 43	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-008	nsp2	2	cell	run 43	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017177.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017177.raw	SARS-Co-V2 proteins
Sample 44	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-009	nsp2	3	cell	run 44	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017178.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017178.raw	SARS-Co-V2 proteins
Sample 45	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-010	nsp4	1	cell	run 45	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017086.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017086.raw	SARS-Co-V2 proteins
Sample 46	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-011	nsp4	2	cell	run 46	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017087.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017087.raw	SARS-Co-V2 proteins
Sample 47	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-012	nsp4	3	cell	run 47	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017088.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017088.raw	SARS-Co-V2 proteins
Sample 48	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-013	nsp5	1	cell	run 48	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017090.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017090.raw	SARS-Co-V2 proteins
Sample 49	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-014	nsp5	2	cell	run 49	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017091.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017091.raw	SARS-Co-V2 proteins
Sample 50	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-015	nsp5	3	cell	run 50	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017092.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017092.raw	SARS-Co-V2 proteins
Sample 51	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-010	nsp5_C145A	1	cell	run 51	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017180.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017180.raw	SARS-Co-V2 proteins
Sample 52	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-011	nsp5_C145A	2	cell	run 52	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017181.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017181.raw	SARS-Co-V2 proteins
Sample 53	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-012	nsp5_C145A	3	cell	run 53	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017182.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017182.raw	SARS-Co-V2 proteins
Sample 54	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-016	nsp6 (not used)	1	cell	run 54	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017094.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017094.raw	SARS-Co-V2 proteins
Sample 55	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-017	nsp6 (not used)	2	cell	run 55	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017095.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017095.raw	SARS-Co-V2 proteins
Sample 56	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-018	nsp6 (not used)	3	cell	run 56	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017096.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017096.raw	SARS-Co-V2 proteins
Sample 57	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-028	nsp6	1	cell	run 57	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017194.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017194.raw	SARS-Co-V2 proteins
Sample 58	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-029	nsp6	2	cell	run 58	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017195.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017195.raw	SARS-Co-V2 proteins
Sample 59	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-030	nsp6	3	cell	run 59	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017196.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017196.raw	SARS-Co-V2 proteins
Sample 60	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-019	nsp7	1	cell	run 60	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017100.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017100.raw	SARS-Co-V2 proteins
Sample 61	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-020	nsp7	2	cell	run 61	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017101.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017101.raw	SARS-Co-V2 proteins
Sample 62	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-021	nsp7	3	cell	run 62	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017102.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017102.raw	SARS-Co-V2 proteins
Sample 63	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-022	nsp8	1	cell	run 63	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017150.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017150.raw	SARS-Co-V2 proteins
Sample 64	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-023	nsp8	2	cell	run 64	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017151.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017151.raw	SARS-Co-V2 proteins
Sample 65	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-024	nsp8	3	cell	run 65	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017152.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017152.raw	SARS-Co-V2 proteins
Sample 66	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-025	nsp9	1	cell	run 66	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017154.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017154.raw	SARS-Co-V2 proteins
Sample 67	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-026	nsp9	2	cell	run 67	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017155.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017155.raw	SARS-Co-V2 proteins
Sample 68	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-027	nsp9	3	cell	run 68	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017156.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017156.raw	SARS-Co-V2 proteins
Sample 69	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-010_H3	orf10	1	cell	run 69	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017128.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017128.raw	SARS-Co-V2 proteins
Sample 70	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-017_G8	orf10	2	cell	run 70	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017129.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017129.raw	SARS-Co-V2 proteins
Sample 71	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-030_F7	orf10	3	cell	run 71	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017130.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017130.raw	SARS-Co-V2 proteins
Sample 72	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-032_F5	orf3a	1	cell	run 72	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017110.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017110.raw	SARS-Co-V2 proteins
Sample 73	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-022_G3	orf3a	2	cell	run 73	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017111.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017111.raw	SARS-Co-V2 proteins
Sample 74	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-005_H8	orf3a	3	cell	run 74	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017112.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017112.raw	SARS-Co-V2 proteins
Sample 75	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-037	orf3b	1	cell	run 75	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017172.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017172.raw	SARS-Co-V2 proteins
Sample 76	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-038	orf3b	2	cell	run 76	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017173.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017173.raw	SARS-Co-V2 proteins
Sample 77	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV02-039	orf3b	3	cell	run 77	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017174.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017174.raw	SARS-Co-V2 proteins
Sample 78	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-006_H7	orf6	1	cell	run 78	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017124.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017124.raw	SARS-Co-V2 proteins
Sample 79	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-021_G4	orf6	2	cell	run 79	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017125.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017125.raw	SARS-Co-V2 proteins
Sample 80	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-037_E12	orf6	3	cell	run 80	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017126.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017126.raw	SARS-Co-V2 proteins
