source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
Sample 13	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr13.raw	1	13	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 14	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr14.raw	1	14	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 14	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr14.raw	1	14	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 15	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr15.raw	1	15	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 15	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr15.raw	1	15	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 16	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr16.raw	1	16	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 16	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr16.raw	1	16	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 17	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr17.raw	1	17	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 17	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr17.raw	1	17	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 18	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr18.raw	1	18	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 18	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr18.raw	1	18	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 19	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr19.raw	1	19	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 19	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr19.raw	1	19	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 20	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr20.raw	1	20	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 20	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr20.raw	1	20	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 21	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr21.raw	1	21	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 21	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr21.raw	1	21	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 22	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr22.raw	1	22	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 22	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr22.raw	1	22	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 23	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr23.raw	1	23	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 23	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr23.raw	1	23	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 24	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr24.raw	1	24	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 24	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr24.raw	1	24	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 25	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr25.raw	1	25	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 25	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr25.raw	1	25	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 26	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr26.raw	1	26	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
