source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[phenotype]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[file uri]
Sample 15	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 15	BreastCancerMem_Fr15.raw	15	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr15.raw
Sample 15	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 15	BreastCancerMem_Fr15.raw	15	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr15.raw
Sample 16	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 16	BreastCancerMem_Fr16.raw	16	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr16.raw
Sample 16	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 16	BreastCancerMem_Fr16.raw	16	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr16.raw
Sample 17	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 17	BreastCancerMem_Fr17.raw	17	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr17.raw
Sample 17	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 17	BreastCancerMem_Fr17.raw	17	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr17.raw
Sample 18	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 18	BreastCancerMem_Fr18.raw	18	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr18.raw
Sample 18	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 18	BreastCancerMem_Fr18.raw	18	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr18.raw
Sample 19	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 19	BreastCancerMem_Fr19.raw	19	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr19.raw
Sample 19	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 19	BreastCancerMem_Fr19.raw	19	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr19.raw
Sample 20	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 20	BreastCancerMem_Fr20.raw	20	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr20.raw
Sample 20	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 20	BreastCancerMem_Fr20.raw	20	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr20.raw
Sample 21	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 21	BreastCancerMem_Fr21.raw	21	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr21.raw
Sample 21	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 21	BreastCancerMem_Fr21.raw	21	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr21.raw
Sample 22	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 22	BreastCancerMem_Fr22.raw	22	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr22.raw
Sample 22	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 22	BreastCancerMem_Fr22.raw	22	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr22.raw
Sample 23	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 23	BreastCancerMem_Fr23.raw	23	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr23.raw
Sample 23	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 23	BreastCancerMem_Fr23.raw	23	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr23.raw
Sample 24	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 24	BreastCancerMem_Fr24.raw	24	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr24.raw
Sample 24	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 24	BreastCancerMem_Fr24.raw	24	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr24.raw
Sample 25	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 25	BreastCancerMem_Fr25.raw	25	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr25.raw
Sample 25	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 25	BreastCancerMem_Fr25.raw	25	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr25.raw
Sample 26	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 26	BreastCancerMem_Fr26.raw	26	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr26.raw
Sample 26	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 26	BreastCancerMem_Fr26.raw	26	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr26.raw
Sample 27	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 27	BreastCancerMem_Fr27.raw	27	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr27.raw
Sample 27	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 27	BreastCancerMem_Fr27.raw	27	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr27.raw
Sample 28	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 28	BreastCancerMem_Fr28.raw	28	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr28.raw
Sample 28	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 28	BreastCancerMem_Fr28.raw	28	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr28.raw
