source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[growth condition]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]
Sample 2	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 28	Lana-SILAC-2-2-1.raw	14	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
																	
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 29	Lana-SILAC-3-1.raw	1	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 30	Lana-SILAC-3-2.raw	2	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 31	Lana-SILAC-3-3.raw	3	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 32	Lana-SILAC-3-4.raw	4	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 33	Lana-SILAC-3-5.raw	5	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 34	Lana-SILAC-3-6.raw	6	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 35	Lana-SILAC-3-7.raw	7	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 36	Lana-SILAC-3-8.raw	8	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 37	Lana-SILAC-3-9.raw	9	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 38	Lana-SILAC-3-10.raw	10	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 39	Lana-SILAC-3-11.raw	11	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 40	Lana-SILAC-3-12.raw	12	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 41	Lana-SILAC-3-13.raw	13	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 42	Lana-SILAC-3-2-1.raw	14	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
																	
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 29	Lana-SILAC-3-1.raw	1	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 30	Lana-SILAC-3-2.raw	2	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 31	Lana-SILAC-3-3.raw	3	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 32	Lana-SILAC-3-4.raw	4	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 33	Lana-SILAC-3-5.raw	5	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 34	Lana-SILAC-3-6.raw	6	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 35	Lana-SILAC-3-7.raw	7	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 36	Lana-SILAC-3-8.raw	8	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 37	Lana-SILAC-3-9.raw	9	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 38	Lana-SILAC-3-10.raw	10	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 39	Lana-SILAC-3-11.raw	11	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 40	Lana-SILAC-3-12.raw	12	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 41	Lana-SILAC-3-13.raw	13	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 42	Lana-SILAC-3-2-1.raw	14	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
																	
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 43	Lana-SILAC-4-1.raw	1	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 44	Lana-SILAC-4-2.raw	2	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 45	Lana-SILAC-4-3.raw	3	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 46	Lana-SILAC-4-4.raw	4	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 47	Lana-SILAC-4-5.raw	5	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 48	Lana-SILAC-4-6.raw	6	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 49	Lana-SILAC-4-7.raw	7	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 50	Lana-SILAC-4-8.raw	8	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 51	Lana-SILAC-4-9.raw	9	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 52	Lana-SILAC-4-10.raw	10	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 53	Lana-SILAC-4-11.raw	11	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 54	Lana-SILAC-4-12.raw	12	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 55	Lana-SILAC-4-13.raw	13	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 56	Lana-SILAC-4-2-1.raw	14	SILAC heavy	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
																	
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 43	Lana-SILAC-4-1.raw	1	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 44	Lana-SILAC-4-2.raw	2	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 45	Lana-SILAC-4-3.raw	3	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 46	Lana-SILAC-4-4.raw	4	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 47	Lana-SILAC-4-5.raw	5	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 48	Lana-SILAC-4-6.raw	6	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 49	Lana-SILAC-4-7.raw	7	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 50	Lana-SILAC-4-8.raw	8	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 51	Lana-SILAC-4-9.raw	9	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 52	Lana-SILAC-4-10.raw	10	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 53	Lana-SILAC-4-11.raw	11	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	Run 54	Lana-SILAC-4-12.raw	12	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
