Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[cell line]	assay name	comment[label]	comment[biological replicate]	comment[technich replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	Material Type	factor value[cell line]
Sample 17	Homo sapiens	not applicable	not available	breast carcinoma	TumorB	run 100	AC=MS:1002038;NT=label free sample	not available	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02247.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02247.raw	cell	TumorB
Sample 18	Homo sapiens	not applicable	not available	breast carcinoma	TumorC	run 101	AC=MS:1002038;NT=label free sample	not available	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02249.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02249.raw	cell	TumorC
Sample 18	Homo sapiens	not applicable	not available	breast carcinoma	TumorC	run 102	AC=MS:1002038;NT=label free sample	not available	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02250.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02250.raw	cell	TumorC
Sample 18	Homo sapiens	not applicable	not available	breast carcinoma	TumorC	run 103	AC=MS:1002038;NT=label free sample	not available	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02251.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02251.raw	cell	TumorC
Sample 18	Homo sapiens	not applicable	not available	breast carcinoma	TumorC	run 104	AC=MS:1002038;NT=label free sample	not available	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02252.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02252.raw	cell	TumorC
Sample 18	Homo sapiens	not applicable	not available	breast carcinoma	TumorC	run 105	AC=MS:1002038;NT=label free sample	not available	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02253.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02253.raw	cell	TumorC
Sample 19	Homo sapiens	not applicable	not available	breast carcinoma	TumorA	run 106	AC=MS:1002038;NT=label free sample	not available	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02255.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02255.raw	cell	TumorA
Sample 19	Homo sapiens	not applicable	not available	breast carcinoma	TumorA	run 107	AC=MS:1002038;NT=label free sample	not available	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02256.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02256.raw	cell	TumorA
Sample 19	Homo sapiens	not applicable	not available	breast carcinoma	TumorA	run 108	AC=MS:1002038;NT=label free sample	not available	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02257.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02257.raw	cell	TumorA
Sample 19	Homo sapiens	not applicable	not available	breast carcinoma	TumorA	run 109	AC=MS:1002038;NT=label free sample	not available	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02258.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02258.raw	cell	TumorA
Sample 19	Homo sapiens	not applicable	not available	breast carcinoma	TumorA	run 110	AC=MS:1002038;NT=label free sample	not available	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02259.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02259.raw	cell	TumorA
Sample 20	Homo sapiens	not applicable	not available	breast carcinoma	TumorD	run 111	AC=MS:1002038;NT=label free sample	not available	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02261.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02261.raw	cell	TumorD
Sample 20	Homo sapiens	not applicable	not available	breast carcinoma	TumorD	run 112	AC=MS:1002038;NT=label free sample	not available	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02262.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02262.raw	cell	TumorD
Sample 20	Homo sapiens	not applicable	not available	breast carcinoma	TumorD	run 113	AC=MS:1002038;NT=label free sample	not available	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02263.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02263.raw	cell	TumorD
Sample 20	Homo sapiens	not applicable	not available	breast carcinoma	TumorD	run 114	AC=MS:1002038;NT=label free sample	not available	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02264.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02264.raw	cell	TumorD
Sample 20	Homo sapiens	not applicable	not available	breast carcinoma	TumorD	run 115	AC=MS:1002038;NT=label free sample	not available	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02265.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02265.raw	cell	TumorD
Sample 21	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 116	AC=MS:1002038;NT=label free sample	1	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02281.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02281.raw	cell	HCC1937
Sample 21	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 117	AC=MS:1002038;NT=label free sample	1	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02282.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02282.raw	cell	HCC1937
Sample 21	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 118	AC=MS:1002038;NT=label free sample	1	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02283.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02283.raw	cell	HCC1937
Sample 21	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 119	AC=MS:1002038;NT=label free sample	1	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02284.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02284.raw	cell	HCC1937
Sample 21	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 120	AC=MS:1002038;NT=label free sample	1	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02285.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02285.raw	cell	HCC1937
Sample 22	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 121	AC=MS:1002038;NT=label free sample	1	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02287.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02287.raw	cell	HCC1937
Sample 22	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 122	AC=MS:1002038;NT=label free sample	1	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02288.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02288.raw	cell	HCC1937
Sample 22	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 123	AC=MS:1002038;NT=label free sample	1	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02289.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02289.raw	cell	HCC1937
Sample 22	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 124	AC=MS:1002038;NT=label free sample	1	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02290.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02290.raw	cell	HCC1937
Sample 22	Homo sapiens	not applicable	not available	breast carcinoma	HCC1937	run 125	AC=MS:1002038;NT=label free sample	1	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02291.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02291.raw	cell	HCC1937
Sample 23	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 126	AC=MS:1002038;NT=label free sample	1	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02327.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02327.raw	cell	HCC1599
Sample 23	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 127	AC=MS:1002038;NT=label free sample	1	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02328.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02328.raw	cell	HCC1599
Sample 23	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 128	AC=MS:1002038;NT=label free sample	1	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02329.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02329.raw	cell	HCC1599
Sample 23	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 129	AC=MS:1002038;NT=label free sample	1	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02330.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02330.raw	cell	HCC1599
Sample 23	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 130	AC=MS:1002038;NT=label free sample	1	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02331.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02331.raw	cell	HCC1599
Sample 24	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 131	AC=MS:1002038;NT=label free sample	1	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02333.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02333.raw	cell	HCC1599
Sample 24	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 132	AC=MS:1002038;NT=label free sample	1	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02334.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02334.raw	cell	HCC1599
Sample 24	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 133	AC=MS:1002038;NT=label free sample	1	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02335.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02335.raw	cell	HCC1599
Sample 24	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 134	AC=MS:1002038;NT=label free sample	1	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02336.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02336.raw	cell	HCC1599
Sample 24	Homo sapiens	not applicable	not available	breast carcinoma	HCC1599	run 135	AC=MS:1002038;NT=label free sample	1	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02337.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02337.raw	cell	HCC1599
Sample 25	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 136	AC=MS:1002038;NT=label free sample	1	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02339.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02339.raw	cell	SW527
Sample 25	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 137	AC=MS:1002038;NT=label free sample	1	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02346.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02346.raw	cell	SW527
Sample 25	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 138	AC=MS:1002038;NT=label free sample	1	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02347.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02347.raw	cell	SW527
Sample 25	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 139	AC=MS:1002038;NT=label free sample	1	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02348.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02348.raw	cell	SW527
Sample 26	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 140	AC=MS:1002038;NT=label free sample	1	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02350.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02350.raw	cell	SW527
Sample 26	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 141	AC=MS:1002038;NT=label free sample	1	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02351.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02351.raw	cell	SW527
Sample 26	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 142	AC=MS:1002038;NT=label free sample	1	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02352.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02352.raw	cell	SW527
Sample 26	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 143	AC=MS:1002038;NT=label free sample	1	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02353.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02353.raw	cell	SW527
Sample 26	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 144	AC=MS:1002038;NT=label free sample	1	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02354.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02354.raw	cell	SW527
Sample 25	Homo sapiens	not applicable	not available	breast carcinoma	SW527	run 145	AC=MS:1002038;NT=label free sample	1	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02356.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02356.raw	cell	SW527
Sample 27	Homo sapiens	not applicable	not available	breast carcinoma	HS578T	run 146	AC=MS:1002038;NT=label free sample	1	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02358.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02358.raw	cell	HS578T
