source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[enrichment process]	assay name	comment[file uri]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[Enrichment method]	comment[synthetic peptide]	comment[data file]	factor value[Enrichment method]	factor value[synthetic peptide]
Sample 234	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 234	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib21_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib21_direct.raw	not applicable	synthetic
Sample 182	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 182	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib21_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib21_IMAC.raw	IMAC	synthetic
Sample 179	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 179	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib21_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib21_TiO2.raw	TiO2	synthetic
Sample 97	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 97	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib22_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib22_direct.raw	not applicable	synthetic
Sample 15	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 15	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib22_IMAC_2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib22_IMAC_2.raw	IMAC	synthetic
Sample 248	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 248	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib22_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib22_IMAC.raw	IMAC	synthetic
Sample 101	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 101	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib22_TiO2_2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib22_TiO2_2.raw	TiO2	synthetic
Sample 187	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 187	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib22_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib22_TiO2.raw	TiO2	synthetic
Sample 318	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 318	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib23_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib23_direct.raw	not applicable	synthetic
Sample 74	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 74	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib23_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib23_IMAC.raw	IMAC	synthetic
Sample 124	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 124	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib23_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib23_TiO2.raw	TiO2	synthetic
Sample 60	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 60	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib24_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib24_direct.raw	not applicable	synthetic
Sample 161	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 161	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib24_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib24_IMAC.raw	IMAC	synthetic
Sample 325	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 325	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib24_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib24_TiO2.raw	TiO2	synthetic
Sample 134	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 134	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib25_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib25_direct.raw	not applicable	synthetic
Sample 88	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 88	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib25_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib25_IMAC.raw	IMAC	synthetic
Sample 44	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 44	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib25_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib25_TiO2.raw	TiO2	synthetic
Sample 142	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 142	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib26_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib26_direct.raw	not applicable	synthetic
Sample 238	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 238	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib26_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib26_IMAC.raw	IMAC	synthetic
Sample 258	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 258	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib26_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib26_TiO2.raw	TiO2	synthetic
Sample 13	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 13	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib27_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib27_direct.raw	not applicable	synthetic
Sample 100	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 100	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib27_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib27_IMAC.raw	IMAC	synthetic
Sample 252	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 252	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib27_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib27_TiO2.raw	TiO2	synthetic
Sample 89	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 89	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib28_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib28_direct.raw	not applicable	synthetic
Sample 260	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 260	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib28_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib28_IMAC.raw	IMAC	synthetic
Sample 109	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 109	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib29_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib29_direct.raw	not applicable	synthetic
Sample 300	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 300	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib29_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib29_IMAC.raw	IMAC	synthetic
Sample 328	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 328	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib29_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib29_TiO2.raw	TiO2	synthetic
Sample 239	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 239	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib30_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib30_direct.raw	not applicable	synthetic
Sample 329	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 329	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib30_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib30_IMAC.raw	IMAC	synthetic
Sample 46	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 46	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib30_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib30_TiO2.raw	TiO2	synthetic
Sample 284	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 284	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib31_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib31_direct.raw	not applicable	synthetic
Sample 75	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 75	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib31_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib31_IMAC.raw	IMAC	synthetic
Sample 29	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 29	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib32_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib32_direct.raw	not applicable	synthetic
Sample 158	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 158	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib32_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib32_IMAC.raw	IMAC	synthetic
Sample 199	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 199	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib32_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib32_TiO2.raw	TiO2	synthetic
Sample 20	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 20	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib33_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib33_direct.raw	not applicable	synthetic
Sample 137	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 137	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib33_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib33_IMAC.raw	IMAC	synthetic
Sample 303	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 303	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib33_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	synthetic	lib33_TiO2.raw	TiO2	synthetic
Sample 152	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 152	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib34_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib34_direct.raw	not applicable	synthetic
Sample 80	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 80	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib34_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib34_IMAC.raw	IMAC	synthetic
