source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[individual]	characteristics[treatment]	characteristics[biological replicate]	characteristics[ancestry category]	material type	assay name	technology type	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[data file]	comment[label]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]
Sample 14	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	2	Caucasian	Cell line	run 29	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140206_QE_UP_U2OS_02b.raw	no fraction	1	20140206_QE_UP_U2OS_02b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 14	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	2	Caucasian	Cell line	run 30	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140206_QE_UP_U2OS_02c.raw	no fraction	1	20140206_QE_UP_U2OS_02c.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 15	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	3	Caucasian	Cell line	run 31	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS_03a.raw	no fraction	1	20140408_QE_UP_U2OS_03a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 15	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	3	Caucasian	Cell line	run 32	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS_03b.raw	no fraction	1	20140408_QE_UP_U2OS_03b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 15	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	3	Caucasian	Cell line	run 33	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS_03c.raw	no fraction	1	20140408_QE_UP_U2OS_03c.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 16	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	4	Caucasian	Cell line	run 34	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS_04a.raw	no fraction	1	20140408_QE_UP_U2OS_04a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 16	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	4	Caucasian	Cell line	run 35	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS_04b.raw	no fraction	1	20140408_QE_UP_U2OS_04b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 16	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	4	Caucasian	Cell line	run 36	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS_04c.raw	no fraction	1	20140408_QE_UP_U2OS_04c.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 17	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	5	Caucasian	Cell line	run 37	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS_05a.raw	no fraction	1	20140408_QE_UP_U2OS_05a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 17	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	5	Caucasian	Cell line	run 38	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS_05b.raw	no fraction	1	20140408_QE_UP_U2OS_05b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 17	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Control	5	Caucasian	Cell line	run 39	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS_05c.raw	no fraction	1	20140408_QE_UP_U2OS_05c.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	Control
Sample 18	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	1	Caucasian	Cell line	run 40	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140206_QE_UP_U2OS1222_0h_01a.raw	no fraction	1	20140206_QE_UP_U2OS1222_0h_01a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 18	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	1	Caucasian	Cell line	run 41	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140206_QE_UP_U2OS1222_0h_01b.raw	no fraction	1	20140206_QE_UP_U2OS1222_0h_01b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 18	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	1	Caucasian	Cell line	run 42	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140206_QE_UP_U2OS1222_0h_01c.raw	no fraction	1	20140206_QE_UP_U2OS1222_0h_01c.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 19	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	2	Caucasian	Cell line	run 43	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140206_QE_UP_U2OS1222_0h_02a.raw	no fraction	1	20140206_QE_UP_U2OS1222_0h_02a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 19	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	2	Caucasian	Cell line	run 44	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140206_QE_UP_U2OS1222_0h_02b.raw	no fraction	1	20140206_QE_UP_U2OS1222_0h_02b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 19	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	2	Caucasian	Cell line	run 45	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140206_QE_UP_U2OS1222_0h_02c.raw	no fraction	1	20140206_QE_UP_U2OS1222_0h_02c.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 20	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	3	Caucasian	Cell line	run 46	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS1222_0h_03a.raw	no fraction	1	20140408_QE_UP_U2OS1222_0h_03a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 20	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	3	Caucasian	Cell line	run 47	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS1222_0h_03b.raw	no fraction	1	20140408_QE_UP_U2OS1222_0h_03b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 20	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	3	Caucasian	Cell line	run 48	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS1222_0h_03c.raw	no fraction	1	20140408_QE_UP_U2OS1222_0h_03c.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 21	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	4	Caucasian	Cell line	run 49	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS1222_0h_04a.raw	no fraction	1	20140408_QE_UP_U2OS1222_0h_04a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 21	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	4	Caucasian	Cell line	run 50	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS1222_0h_04b.raw	no fraction	1	20140408_QE_UP_U2OS1222_0h_04b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 21	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	4	Caucasian	Cell line	run 51	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS1222_0h_04c.raw	no fraction	1	20140408_QE_UP_U2OS1222_0h_04c.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 22	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	5	Caucasian	Cell line	run 52	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS1222_0h_05a.raw	no fraction	1	20140408_QE_UP_U2OS1222_0h_05a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 22	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	5	Caucasian	Cell line	run 53	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS1222_0h_05b.raw	no fraction	1	20140408_QE_UP_U2OS1222_0h_05b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 22	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	0h_HU	5	Caucasian	Cell line	run 54	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140408_QE_UP_U2OS1222_0h_05c.raw	no fraction	1	20140408_QE_UP_U2OS1222_0h_05c.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_HU
Sample 23	Homo sapiens	Bone	15Y	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	2h_HU	1	Caucasian	Cell line	run 55	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/20140206_QE_UP_U2OS1222_2h_01a.raw	no fraction	1	20140206_QE_UP_U2OS1222_2h_01a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	"NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	2h_HU
