source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[growth phase]	characteristics[optical density]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
FL4_KO_3	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 33	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_03.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_03.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_KO_4	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 34	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_04.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_04.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_KO_5	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 35	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_05.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_05.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_KO_6	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 36	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_06.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_06.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_1	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 37	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_01.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_01.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_2	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 38	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_02.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_02.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_3	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 39	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_03.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_03.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_4	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 40	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_04.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_04.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_5	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 41	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_05.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_05.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_6	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 42	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_06.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_06.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_KO_1	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 43	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_07.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_07.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_KO_2	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 44	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_08.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_08.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_KO_3	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 45	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_09.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_09.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_KO_4	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 46	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_10.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_10.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_KO_5	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 47	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_11.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_11.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL19_KO_6	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 48	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_12.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_12.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_1	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 49	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_13.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_13.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_2	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 50	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_14.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_14.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_3	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 51	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_15.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_15.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_4	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 52	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_16.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_16.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_5	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 53	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_17.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_17.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_6	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 54	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_18.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_18.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_KO_1	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 55	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_19.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_19.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_KO_2	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 56	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_20.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_20.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_KO_3	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 57	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_21.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_21.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_KO_4	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 58	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_22.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_22.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_KO_5	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 59	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_23.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_23.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL20_KO_6	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 60	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_24.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_24.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL24_1	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 61	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_25.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_25.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL24_2	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 62	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_26.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_26.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL24_3	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 63	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_27.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_27.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL24_4	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 64	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_28.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_28.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL24_5	Escherichia coli	Cell lysate	Escherichia coli O25b:H4-ST131	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 65	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2022-02-08_QE_BK306_AR_Ecoli_Cipro_29.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_29.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
