source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[growth stage]	characteristics[growth condition]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[medium]	characteristics[medium supplements]	characteristics[optical density]	characteristics[growth phase]	assay name	technology type	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]	factor value[medium]	comment[sdrf version]	comment[sdrf template]
LS3	3	prokaryotic cell	Stationary	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	Not available	Stationary phase	LS3_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16955AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
GE3	3	prokaryotic cell	Exponential	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	0.6	Exponential phase	GE3_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16957AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
GS3	3	prokaryotic cell	Stationary	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	Not available	Stationary phase	GS3_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16959AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
AE3	3	prokaryotic cell	Exponential	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	0.6	Exponential phase	AE3_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16961AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
AS3	3	prokaryotic cell	Stationary	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	Not available	Stationary phase	AS3_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16963AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
LE4	4	prokaryotic cell	Exponential	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	0.6	Exponential phase	LE4_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16967AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
LS4	4	prokaryotic cell	Stationary	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	Not available	Stationary phase	LS4_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16969AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
GE4	4	prokaryotic cell	Exponential	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	0.6	Exponential phase	GE4_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16971AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
GS4	4	prokaryotic cell	Stationary	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	Not available	Stationary phase	GS4_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16973AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
AE4	4	prokaryotic cell	Exponential	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	0.6	Exponential phase	AE4_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16975AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
AS4	4	prokaryotic cell	Stationary	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	Not available	Stationary phase	AS4_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16977AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
