source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[phenotype]	characteristics[individual]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]	factor value[enrichment process]
Sample 14	Homo sapiens	breast	52Y	HCC1143	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C7_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C7_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 15	Homo sapiens	breast	52Y	HCC1143	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C7b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C7b.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 15	Homo sapiens	breast	52Y	HCC1143	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C7b_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C7b_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 16	Homo sapiens	breast	44Y	MDA-MB-157	Epithelial	Black	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C8.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 16	Homo sapiens	breast	44Y	MDA-MB-157	Epithelial	Black	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C8_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C8_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 17	Homo sapiens	breast	44Y	MDA-MB-157	Epithelial	Black	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C8b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C8b.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 17	Homo sapiens	breast	44Y	MDA-MB-157	Epithelial	Black	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C8b_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C8b_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 18	Homo sapiens	breast	23Y	BT483	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C9.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 18	Homo sapiens	breast	23Y	BT483	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C9_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C9_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 19	Homo sapiens	breast	23Y	BT483	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	1	cell line	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C9b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C9b.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	agressive	enrichment of phosphorylated Protein
Sample 19	Homo sapiens	breast	23Y	BT483	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	1	cell line	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C9b_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C9b_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	agressive	enrichment of phosphorylated Protein
Sample 20	Homo sapiens	breast	23Y	HCC1937	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	1	cell line	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C10.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	agressive	enrichment of phosphorylated Protein
Sample 20	Homo sapiens	breast	23Y	HCC1937	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	1	cell line	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C10_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C10_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	agressive	enrichment of phosphorylated Protein
Sample 21	Homo sapiens	breast	23Y	HCC1937	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C10b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C10b.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 21	Homo sapiens	breast	23Y	HCC1937	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 42	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C10b_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C10b_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 22	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	indolent	4020303	enrichment of phosphorylated Protein	1	Biopsy	run 43	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B10A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B10A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 23	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	indolent	4020361	enrichment of phosphorylated Protein	1	Biopsy	run 44	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B12A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B12A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 24	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020351	enrichment of phosphorylated Protein	1	Biopsy	run 45	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B13A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B13A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 25	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020326	enrichment of phosphorylated Protein	1	Biopsy	run 46	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B14A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B14A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 26	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020194	enrichment of phosphorylated Protein	1	Biopsy	run 47	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B15A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B15A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 27	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020171	enrichment of phosphorylated Protein	1	Biopsy	run 48	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B16A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B16A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 28	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	46090827	enrichment of phosphorylated Protein	1	Biopsy	run 49	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B17A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B17A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 29	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	46090821	enrichment of phosphorylated Protein	1	Biopsy	run 50	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B18A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B18A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 30	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	46090817	enrichment of phosphorylated Protein	1	Biopsy	run 51	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B19A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B19A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 31	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4030239	enrichment of phosphorylated Protein	1	Biopsy	run 52	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B1B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B1B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 32	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	110113	enrichment of phosphorylated Protein	1	Biopsy	run 53	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B20A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B20A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 33	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	110112	enrichment of phosphorylated Protein	1	Biopsy	run 54	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B21A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B21A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
