source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
Sample 36	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 36	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-9.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-9.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 37	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 37	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-10.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-10.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 38	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 38	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-11.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-11.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 39	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 39	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-12.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-12.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 40	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 40	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-13.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-13.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 41	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 41	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-14.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-14.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 42	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 42	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-15.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-15.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 43	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 43	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-16.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-16.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 44	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 44	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-17.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-17.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 45	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 45	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-18.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-18.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 46	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 46	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-1re.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-1re.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 47	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 47	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-2.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-2.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 48	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 48	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-3.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-3.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 49	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 49	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-4.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-4.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 50	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 50	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-5.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-5.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 51	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 51	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-6.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-6.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 52	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 52	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-7.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-7.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 53	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 53	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-8.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-8.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 54	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 54	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-4-9.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-9.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 55	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 55	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-10.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-10.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 56	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 56	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-11.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-11.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 57	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 57	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-12.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-12.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 58	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 58	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-13.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-13.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 59	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 59	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-14.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-14.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 60	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 60	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-15.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-15.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 61	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 61	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-16.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-16.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 62	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 62	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-17.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-17.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 63	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 63	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-18.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-18.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 64	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 64	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-7.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-7.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 65	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 65	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-8.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-8.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 66	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 66	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-5-9.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-9.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 67	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 67	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-1.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-1.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 68	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 68	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-10.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-10.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 69	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 69	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-11.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-11.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 70	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 70	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-12.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-12.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 71	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 71	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-13.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-13.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
